Substrate;Ligand#;Class;Conversion;EE;DDG
SM1;L1;PP;1;0.347;1.8
SM2;L1;PP;0.955923811;0.025;-0.1
SM3;L1;PP;1;0.426;2.3
SM7;L1;PP;1;0.289;1.6
SM8;L1;PP;1;0.608;3.8
SM1;L2;PP;1;0;0
SM2;L2;PP;0.98520597;0.589;3.4
SM3;L2;PP;1;0.038;0.2
SM7;L2;PP;1;0.26;1.4
SM8;L2;PP;1;0.158;-0.9
SM1;L3;PP;1;0.639;3.8
SM2;L3;PP;1;0.3;1.5
SM3;L3;PP;1;0.608;3.5
SM7;L3;PP;1;0.117;-0.6
SM8;L3;PP;1;0.079;0.4
SM1;L4;PP;0.561166426;0.189;0.9
SM2;L4;PP;1;0.126;-0.6
SM3;L4;PP;1;0.192;-1
SM7;L4;PP;0.952753567;0.199;1.1
SM8;L4;PP;0.584881811;0.165;-0.9
SM1;L5;PP;0.270490699;0.094;0.5
SM2;L5;PP;0.993323183;0.185;0.9
SM3;L5;PP;1;0.532;-2.9
SM7;L5;PP;0.278381708;0.111;-0.6
SM8;L5;PP;0.90690339;0.107;-0.6
SM1;L6;PP;1;0.859;6.4
SM2;L6;PP;0.841995184;0.827;5.8
SM3;L6;PP;1;0.915;7.7
SM7;L6;PP;0.872348225;0.076;0.4
SM8;L6;PP;1;0.764;5.4
SM1;L7;PP;1;0.004;0
SM2;L7;PP;0.723386892;0.125;-0.6
SM3;L7;PP;0.2929839;0.064;-0.3
SM7;L7;PP;0.992460161;0.176;1
SM8;L7;PP;1;0.631;4
SM1;L8;PP;0.401974503;0.121;0.6
SM2;L8;PP;0.180513189;0.067;-0.3
SM3;L8;PP;0.431832002;0.262;-1.3
SM7;L8;PP;0.312294127;0.17;-0.9
SM8;L8;PP;1;0.217;-1.2
SM1;L9;PP;1;0.261;1.3
SM2;L9;PP;0.813069037;0.239;1.2
SM3;L9;PP;1;0.167;0.8
SM7;L9;PP;1;0.006;0
SM8;L9;PP;1;0.443;-2.6
SM1;L10;PP;1;0.002;0
SM2;L10;PP;0.614311701;0.377;2
SM3;L10;PP;1;0.113;-0.6
SM7;L10;PP;1;0.227;1.2
SM8;L10;PP;1;0.032;0.2
SM1;L11;PP;1;0.15;-0.7
SM2;L11;PP;0.780420495;0.535;3
SM3;L11;PP;1;0.052;-0.3
SM7;L11;PP;1;0.273;1.5
SM8;L11;PP;1;0.251;-1.4
SM1;L12;PP;0.83169464;0.584;3.3
SM2;L12;PP;0.835824803;0.63;3.7
SM3;L12;PP;1;0.575;3.2
SM7;L12;PP;1;0.304;-1.7
SM8;L12;PP;1;0.284;1.6
SM1;L13;PP;0.157796918;0.558;-3.1
SM2;L13;PP;0.567357579;0.312;-1.6
SM3;L13;PP;0.297720285;0.729;-4.6
SM7;L13;PP;0.909290467;0.104;0.6
SM8;L13;PP;0.097523029;0.09;0.5
SM1;L14;PP;0.588429118;0.34;-1.8
SM2;L14;PP;1;0.143;-0.7
SM3;L14;PP;1;0.734;-4.6
SM7;L14;PP;0.723385736;0.437;-2.5
SM8;L14;PP;0.928701101;0.021;-0.1
SM1;L15;PP;0.065025283;0.153;-0.8
SM2;L15;PP;0.852009707;0.065;-0.3
SM3;L15;PP;0.205222426;0.136;0.7
SM7;L15;PP;1;0.538;3.2
SM8;L15;PP;1;0.608;-3.8
SM1;L16;PP;1;0.083;-0.4
SM2;L16;PP;0.441898957;0.127;0.6
SM3;L16;PP;1;0.139;-0.7
SM7;L16;PP;1;0.179;1
SM8;L16;PP;1;0.419;-2.4
SM1;L17;PP;0.068114149;0.116;0.6
SM2;L17;PP;0;0;0
SM3;L17;PP;0.107509205;0.069;0.3
SM7;L17;PP;0.069776132;0.186;1
SM8;L17;PP;0.842687012;0.068;-0.4
SM1;L18;PP;1;0.305;1.6
SM2;L18;PP;0.450695779;0.38;-2
SM3;L18;PP;1;0.294;-1.5
SM7;L18;PP;1;0.915;8.4
SM8;L18;PP;1;0.899;-7.9
SM1;L19;PP;1;0.503;-2.7
SM2;L19;PP;0;0;0
SM3;L19;PP;0.256515152;0.584;-3.3
SM7;L19;PP;1;0.186;-1
SM8;L19;PP;1;0.492;-2.9
SM1;L20;PP;1;0.941;8.7
SM2;L20;PP;1;0.884;6.9
SM3;L20;PP;0.772879915;0.58;3.3
SM7;L20;PP;1;0.495;-2.9
