Substrate;Ligand#;Temperature/C;Hydrogen/bar;Conversion;EE;DDG
SM1;L1;25;5;1;0.358;1.9
SM1;L2;25;5;1;0.003;0
SM1;L3;25;5;1;0.623;3.6
SM1;L4;25;5;1;0.178;0.9
SM1;L5;25;5;1;0.055;0.3
SM1;L6;25;5;1;0.866;6.5
SM1;L7;25;5;1;0.009;0
SM1;L8;25;5;1;0.079;0.4
SM1;L9;25;5;1;0.253;1.3
SM1;L10;25;5;1;0.002;0
SM1;L11;25;5;1;0.148;-0.7
SM1;L12;25;5;1;0.573;3.2
SM1;L13;25;5;0.81;0.511;-2.8
SM1;L14;25;5;0.55;0.332;-1.7
SM1;L15;25;5;0.97;0.192;-1
SM1;L16;25;5;1;0.081;-0.4
SM1;L17;25;5;1;0.184;0.9
SM1;L18;25;5;1;0.307;1.6
SM1;L19;25;5;1;0.524;-2.9
SM1;L20;25;5;1;0.948;9
SM1;L21;25;5;1;0.427;-2.3
SM1;L22;25;5;1;0.964;9.9
SM1;L23;25;5;1;0.954;9.3
SM1;L24;25;5;0.36;0.831;-5.9
SM1;L25;25;5;1;0.526;-2.9
SM1;L26;25;5;1;0.82;-5.7
SM1;L27;25;5;1;0.063;0.3
SM1;L28;25;5;0.56;0.118;0.6
SM1;L29;25;5;1;0.144;-0.7
SM1;L30;25;5;1;0.845;-6.1
SM1;L31;25;5;0.86;0.486;2.6
SM1;L32;25;5;1;0.194;-1
SM1;L33;25;5;1;0.146;0.7
SM1;L34;25;5;1;0.068;-0.3
SM1;L35;25;5;1;0.638;3.7
SM1;L36;25;5;1;0.448;2.4
SM1;L37;25;5;1;0.591;-3.4
SM1;L38;25;5;1;0.946;-8.9
SM1;L39;25;5;0.87;0.308;1.6
SM1;L40;25;5;1;0.143;0.7
SM1;L41;25;5;0.17;0.658;-3.9
SM1;L42;25;5;1;0.84;6.1
SM1;L43;25;5;0.11;0.59;-3.4
SM1;L44;25;5;1;0.09;-0.4
SM1;L45;25;5;1;0.398;-2.1
SM1;L46;25;5;0.1;0.338;-1.7
SM1;L47;25;5;1;0.265;1.3
SM1;L48;25;5;1;0.241;1.2
SM1;L49;25;5;1;0.859;6.4
SM1;L50;25;5;0.12;0.264;-1.3
SM1;L51;25;5;1;0.933;8.3
SM1;L52;25;5;1;0.521;2.9
SM1;L53;25;5;0.92;0.348;1.8
SM1;L54;25;5;0.93;0.245;-1.2
SM1;L55;25;5;0.98;0.995;14.8
SM1;L56;25;5;1;0.877;-6.8
SM1;L57;25;5;0.62;0.412;2.2
SM1;L58;25;5;1;0.652;3.9
SM1;L59;25;5;1;0.341;-1.8
SM1;L60;25;5;0.1;0.331;1.7
SM1;L61;25;5;0.04;0.176;0.9
SM1;L62;25;5;0.31;0.656;3.9
SM1;L63;25;5;1;0.648;-3.8
SM1;L64;25;5;1;0.981;-11.5
SM1;L65;25;5;1;0.854;6.3
SM1;L66;25;5;1;0.706;4.4
SM1;L67;25;5;0.98;0.993;14
SM1;L68;25;5;1;0.99;13.1
SM1;L69;25;5;1;0.971;10.5
SM1;L70;25;5;1;0.755;-4.9
SM1;L71;25;5;0.05;0.054;-0.3
SM1;L72;25;5;0.11;0.807;-5.5
SM1;L73;25;5;0.01;0.278;-1.4
SM1;L74;25;5;1;0.947;-8.9
SM1;L75;25;5;1;0.942;8.7
SM1;L76;25;5;1;0.18;0.9
SM1;L77;25;5;1;0.742;-4.7
SM1;L78;25;5;1;0.738;-4.7
SM1;L79;25;5;1;0.721;4.5
SM1;L80;25;5;1;0.599;3.4
SM1;L81;25;5;0.02;0.424;-2.2
SM1;L82;25;5;1;0.919;-7.8
SM1;L83;25;5;0.34;0.159;0.8
SM1;L84;25;5;1;0.987;-12.5
SM1;L85;25;5;1;0.163;0.8
SM1;L86;25;5;1;0.157;0.8
SM1;L87;25;5;1;0.763;-5
SM1;L88;25;5;0.01;0.063;0.3
SM1;L89;25;5;1;0.247;1.3
SM1;L90;25;5;1;0.22;1.1
SM1;L91;25;5;0.89;0.002;0
SM1;L92;25;5;1;0.279;1.4
SM1;L93;25;5;1;0.133;-0.7
SM1;L94;25;5;1;0.027;-0.1
SM1;L95;25;5;1;0.892;7.1
SM1;L96;25;5;1;0.718;4.5
SM1;L97;25;5;1;0.13;-0.6
SM1;L98;25;5;1;0.872;-6.7
SM1;L99;25;5;0.07;0.112;-0.6
SM1;L100;25;5;1;0.012;0.1
SM1;L101;25;5;0.39;0.132;0.7
SM1;L102;25;5;1;0.936;-8.5
SM1;L103;25;5;0.55;0.172;0.9
SM1;L104;25;5;1;0.65;-3.8
SM1;L105;25;5;0.07;0.389;-2
SM1;L106;25;5;1;0.898;7.2
SM1;L107;25;5;0.09;0.088;0.4
SM1;L108;25;5;1;0.832;-5.9
SM1;L109;25;5;0.16;0.341;1.8
SM1;L110;25;5;1;0.995;-14.8
SM1;L111;25;5;1;0.995;14.8
SM1;L112;25;5;1;0.026;-0.1
SM1;L113;25;5;1;0.98;11.4
SM1;L114;25;5;0.03;0.479;2.6
SM1;L115;25;5;0.03;0.017;-0.1
SM1;L116;25;5;0.61;0.033;-0.2
SM1;L117;25;5;1;0.359;1.9
SM1;L118;25;5;1;0.194;-1
SM1;L119;25;5;1;0.531;-2.9
SM1;L120;25;5;1;0.552;3.1
SM1;L121;25;5;1;0.842;6.1
SM1;L122;25;5;1;0.463;2.5
SM1;L123;25;5;1;0.89;7
SM1;L124;25;5;1;0.414;-2.2
SM1;L125;25;5;0.99;0.042;-0.2
SM1;L126;25;5;0.87;0.59;-3.4
SM1;L127;25;5;0;0;0
SM1;L128;25;5;1;0.008;0
SM1;L129;25;5;0.91;0.279;-1.4
SM1;L130;25;5;1;0.882;6.9
SM1;L131;25;5;0.44;0.59;3.4
SM1;L132;25;5;0.98;0.687;4.2
SM1;L133;25;5;1;0.898;7.2
SM1;L134;25;5;1;0.755;4.9
SM1;L135;25;5;0.99;0.852;-6.3
SM1;L136;25;5;1;0.526;2.9
SM1;L137;25;5;1;0.331;1.7
SM1;L138;25;5;1;0.949;9
SM1;L139;25;5;1;0.958;9.5
SM1;L140;25;5;0.09;0.086;-0.4
SM1;L141;25;5;1;0.98;-11.4
SM1;L142;25;5;1;0.111;-0.6
SM1;L143;25;5;1;0.89;-7
SM1;L144;25;5;1;0.692;4.2
SM1;L145;25;5;1;0.113;-0.6
SM1;L146;25;5;0.13;0.052;-0.3
SM1;L147;25;5;1;0.264;1.3
SM1;L148;25;5;0.04;0.275;1.4
SM1;L149;25;5;1;0.477;2.6
SM1;L150;25;5;0;0;0
SM1;L151;25;5;0;0;0
SM1;L152;25;5;0.05;0.995;14.8
SM1;L153;25;5;1;0.95;9.1
SM1;L154;25;5;0.03;0.387;-2
SM1;L155;25;5;1;0.401;2.1
SM1;L156;25;5;1;0.353;-1.8
SM1;L157;25;5;1;0.957;-9.5
SM1;L158;25;5;0;0;0
SM1;L159;25;5;1;0.795;5.4
SM1;L160;25;5;1;0.568;3.2
SM1;L161;25;5;0;0;0
SM1;L162;25;5;0.28;0.032;-0.2
SM1;L163;25;5;1;0.78;5.2
SM1;L164;25;5;0.16;0.279;1.4
SM1;L165;25;5;1;0.105;-0.5
SM1;L166;25;5;0.07;0.102;-0.5
SM1;L167;25;5;1;0.974;-10.7
SM1;L168;25;5;0.05;0.995;14.8
SM1;L169;25;5;1;0.038;-0.2
SM1;L170;25;5;1;0.966;10.1
SM1;L171;25;5;1;0.179;0.9
SM1;L172;25;5;0.53;0.615;-3.6
SM1;L173;25;5;0.73;0.801;5.5
SM1;L174;25;5;1;0.137;0.7
SM1;L175;25;5;0.32;0.823;-5.8
