Ligand#,distance_pi_bond_1,distance_pi_bond_2,dihedral_angle_1,dihedral_angle_2,NE_quad,NW_quad,SW_quad,SE_quad,"+,+,+_octant","-,+,+_octant","-,-,+_octant","+,-,+_octant","+,-,-_octant","-,-,-_octant","-,+,-_octant","+,+,-_octant",bite_angle,cone_angle,distance_Rh_max_donor_gaussian,distance_Rh_min_donor_gaussian,buried_volume_Rh_3.5A,buried_volume_donor_max,buried_volume_donor_min,buried_volume_Rh_4A,buried_volume_Rh_5A,buried_volume_Rh_6A,buried_volume_Rh_7A,dispersion_p_int_Rh_gfn2_xtb,dispersion_p_int_donor_max_gfn2_xtb,dispersion_p_int_donor_min_gfn2_xtb,sasa_gfn2_xtb,ip_gfn2_xtb,dipole_gfn2_xtb,ea_gfn2_xtb,electrofugality_gfn2_xtb,nucleofugality_gfn2_xtb,nucleophilicity_gfn2_xtb,electrophilicity_gfn2_xtb,HOMO_LUMO_gap_gfn2_xtb,sum_electronic_and_free_energy_dft,sum_electronic_and_enthalpy_dft,zero_point_correction_dft,entropy_dft,dipole_moment_dft,lone_pair_occupancy_min_donor_dft,lone_pair_occupancy_max_donor_dft,dispersion_energy_dft,nbo_charge_Rh_dft,nbo_charge_min_donor_dft,nbo_charge_max_donor_dft,mulliken_charge_Rh_dft,mulliken_charge_min_donor_dft,mulliken_charge_max_donor_dft,homo_energy_dft,lumo_energy_dft,homo_lumo_gap_dft,hardness_dft,softness_dft,electronegativity_dft,electrophilicity_dft,min_NBO_donor,max_NBO_donor,min_bv_donor,max_bv_donor,Rh_donor_min_d,Rh_donor_max_d,std_quad,min_quad,max_quad,std_oct,min_oct,max_oct,ratio_std_oct_std_quad,ratio_min_oct_min_quad,lone_pair_occ_min,lone_pair_occ_max,bite_angle_sin,bite_angle_cos,cone_angle_sin,cone_angle_cos
L1,1.390741232,1.392786919,7.686360713,7.480901213,0.507384458,0.547917443,0.504658964,0.461866381,0.116427507,0.120108088,0.080227357,0.135156541,0.898341409,0.975726798,0.843505404,0.874161387,89.54054747,224.8735646,2.336057946,2.339692788,0.505153979,0.907012905,0.901305675,0.510435417,0.496190202,0.448464783,0.368040652,50.46296345,58.18334971,64.87687441,823.703779,3.216820456,0.908957614,4.984783143,3.674095433,0.318491833,-3.216820456,0.457274976,0.062385197,-3722.021372,-3721.901695,0.853435,0.000401399,6.80666336,1.14908,1.11654,-4.638537111,-0.38116,1.18187,1.24356,-0.507829,0.314564,0.375317,-8.402059362,-4.270282656,4.131776706,2.065888353,0.484053264,6.336171009,9.716658452,1.18187,1.24356,0.901305675,0.907012905,2.336057946,2.339692788,0.03515386768771606,0.461866381,0.547917443,0.4214790114772515,0.080227357,0.975726798,11.989548780845254,0.1737025258826968,1.11654,1.14908,0.9999867035161969,-0.00515681983492103,-0.9689891029167157,0.24710345693384894
L2,,,,,0.55669959,0.543864145,0.560100634,0.513138278,0.140887067,0.161013791,0.192648155,0.163483041,0.972512113,0.926714499,0.833628401,0.956718226,93.86734374,235.249328,2.406816238,2.323101063,0.543671962,0.943632361,0.910780842,0.548293868,0.525493914,0.455562611,0.354657071,54.02773139,65.91354257,63.35845774,748.3841148,3.150850893,1.591462496,4.806290667,3.530063364,0.418921804,-3.150850893,0.379212471,0.06868922,-3567.50341,-3567.390846,0.77664,0.000377542,4.168309716,1.09823,1.19396,-4.419215214,-0.23047,1.08891,1.07866,-0.613867,0.389066,0.354999,-8.477434898,-4.364978276,4.112456623,2.056228311,0.486327318,6.421206587,10.02609822,1.07866,1.08891,0.910780842,0.943632361,2.323101063,2.406816238,0.021383539251058768,0.513138278,0.560100634,0.40738386555422385,0.140887067,0.972512113,19.05128336199317,0.2745596519307024,1.09823,1.19396,-0.3713252090793353,0.92850287511789,0.3617282588583092,-0.9322835763561085
L3,1.392435355,1.388874624,-14.64569747,-6.935351771,0.564806187,0.56308237,0.558609765,0.535641073,0.169213567,0.152907193,0.228289228,0.243011554,0.960398807,0.973257548,0.842992918,0.874207976,93.60203111,223.9426417,2.362471747,2.380743632,0.555400904,0.923779351,0.913075382,0.555598659,0.524754817,0.466664021,0.38307441,57.92161594,59.51693093,63.75200111,790.7220425,2.990687095,1.197028624,4.495300775,3.251414803,0.611426932,-2.990687095,0.260727707,0.062696227,-3729.046324,-3728.925891,0.995411,0.000403934,3.360384194,1.14418,1.15748,-5.156050973,-0.36048,1.107,1.08722,-0.698187,0.286454,0.266693,-8.53621149,-4.197900372,4.338311119,2.169155559,0.461008892,6.367055931,9.344512212,1.08722,1.107,0.913075382,0.923779351,2.362471747,2.380743632,0.01351715223337764,0.535641073,0.564806187,0.3852096738393535,0.152907193,0.973257548,28.497842384889534,0.28546577308495535,1.14418,1.15748,-0.6017963943805197,0.798649547492895,-0.7767968061368468,-0.629751317565588
L4,1.393590309,1.386472913,-0.287526744,-4.731149169,0.435426761,0.483111256,0.528233321,0.558493291,0.11857063,0.154817369,0.189852777,0.098443906,0.752282892,0.811405143,0.927133805,0.958022736,90.51385255,227.3468052,2.381162265,2.300999524,0.501106504,0.908195117,0.891760622,0.50789833,0.501850698,0.459322418,0.380930389,50.45135386,62.52382006,54.32646231,814.4235317,3.181731987,0.954930414,4.95250951,3.621234016,0.332992519,-3.181731987,0.439502029,0.069447932,-3722.016668,-3721.899037,0.854244,0.000394536,4.53921278,1.12136,1.14973,-4.677195651,-0.39967,1.2084,1.23734,-0.468358,0.352835,0.396046,-8.560701737,-4.336406322,4.224295415,2.112147708,0.473451737,6.448554029,9.843972777,1.2084,1.23734,0.891760622,0.908195117,2.300999524,2.381162265,0.0537481450716254,0.435426761,0.558493291,0.3918658819756743,0.098443906,0.958022736,7.290779643715505,0.22608602598038297,1.12136,1.14973,0.5582992565544833,-0.8296396447438558,0.9136336309945208,0.4065385446864391
L5,1.388324026,1.388813807,14.22107632,-6.401580948,0.528256616,0.500489191,0.488142937,0.525507827,0.162458069,0.177599702,0.082556839,0.056513231,0.894055162,0.823378681,0.968458815,0.919772643,87.5054692,216.8461513,2.302333616,2.31723273,0.510855386,0.91456625,0.899919633,0.518438489,0.514675507,0.476523879,0.401315303,53.2942786,62.60716657,58.01836788,877.4348201,3.130399212,0.659673116,5.088677064,3.622900004,0.249823728,-3.130399212,0.492500792,0.068679177,-3871.808583,-3871.673697,0.822078,0.00045241,2.550581522,1.12834,1.09922,-4.841785289,-0.39632,1.20693,1.23722,-0.504074,0.299701,0.372446,-8.461108067,-4.306201684,4.154906383,2.077453192,0.481358619,6.383654876,9.807934479,1.20693,1.23722,0.899919633,0.91456625,2.302333616,2.31723273,0.019498269399396473,0.488142937,0.528256616,0.42146564931162805,0.056513231,0.968458815,21.61554139387743,0.1157718912155437,1.09922,1.12834,-0.44316398128638274,0.8964405645052006,-0.07618431290085281,-0.9970937520954712
L6,1.386472554,1.390093584,-6.496965813,-0.710322602,0.568673127,0.564945956,0.55476612,0.535454715,0.161200149,0.191343645,0.171915766,0.13147596,0.976146105,0.938548267,0.898993664,0.97805628,91.72499201,234.7907285,2.35992219,2.298908197,0.556303578,0.913919819,0.903693394,0.561611632,0.553396298,0.507943671,0.431133762,56.65861873,60.81281256,60.23357112,934.2254207,4.253340395,5.11640858,5.955668266,5.396981522,0.033972861,-4.253340395,1.143641127,0.059120938,-5067.92857,-5067.770064,0.874335,0.000531632,3.685435552,1.13978,1.13108,-5.237354279,-0.39383,1.15673,1.22442,-0.581506,0.295947,0.358309,-8.713085493,-4.631377736,4.081707758,2.040853879,0.489990984,6.672231614,10.90687461,1.15673,1.22442,0.903693394,0.913919819,2.298908197,2.35992219,0.014880222508820314,0.535454715,0.568673127,0.4200722062568752,0.13147596,0.97805628,28.23023688038775,0.24554076435763575,1.13108,1.13978,-0.5800622066780737,-0.8145721799716484,0.7370672767684914,-0.6758193763995526
L7,1.385557925,1.393759614,8.400892533,4.466394645,0.542047149,0.540416511,0.511833768,0.600447261,0.193579948,0.207603429,0.222046217,0.136274693,0.89051435,0.873229594,0.978848304,0.887392844,94.1457652,216.5604367,2.37378055,2.297811876,0.548616288,0.911235091,0.888091688,0.547145584,0.521201239,0.472649553,0.404021479,61.88810681,68.23779178,69.9748493,939.8528441,3.05481582,1.768582433,4.964062289,3.483314304,0.310436196,-3.05481582,0.428498484,0.063110286,-4107.419397,-4107.272217,1.028531,0.000493644,6.557646564,1.11957,1.14069,-5.418895883,-0.34926,1.15306,1.09172,-0.659212,0.357148,0.285804,-8.353078869,-4.06565304,4.287425828,2.143712914,0.466480373,6.209365955,8.992861241,1.09172,1.15306,0.888091688,0.911235091,2.297811876,2.37378055,0.03719217630315363,0.511833768,0.600447261,0.3856629471464285,0.136274693,0.978848304,10.369464373444774,0.26624795298773646,1.11957,1.14069,-0.10183755678330922,0.9948010414290921,0.2079282092130887,-0.9781440894947114
L8,1.391202206,1.387651884,3.415342971,1.461816061,0.503354454,0.474166045,0.504123183,0.52706858,0.123602311,0.147456206,0.141632501,0.07472978,0.883106597,0.800875885,0.912504659,0.933516586,91.44635805,226.5519226,2.327911123,2.303399429,0.50240519,0.911328271,0.889064247,0.507033238,0.506561209,0.488855504,0.437609941,52.14720635,63.55043413,58.67358187,1034.736628,4.197178187,5.43366018,6.000382772,5.373695205,0.022134246,-4.197178187,1.176517018,0.061969066,-5217.731564,-5217.555288,0.842147,0.000591233,3.129292989,1.1446,1.0954,-5.242378056,-0.35015,1.10544,1.20751,-0.488998,0.345078,0.393468,-8.594715968,-4.664847739,3.929868229,1.964934114,0.508922916,6.629781854,11.18460082,1.10544,1.20751,0.889064247,0.911328271,2.303399429,2.327911123,0.02167470396998054,0.474166045,0.52706858,0.4089359199618198,0.07472978,0.933516586,18.866966788944197,0.1576025546072157,1.0954,1.1446,-0.3336483887130129,-0.9426975934567831,0.349700632422935,0.9368614986661579
L9,1.391778597,1.395598763,10.8566501,13.57718003,0.439945956,0.527418002,0.49995341,0.598630265,0.138883712,0.216688408,0.249254566,0.135669027,0.7410082,0.838147596,0.948005963,0.864237794,94.82952176,243.0540082,2.411803256,2.441398621,0.516189899,0.905964638,0.936230432,0.522899727,0.508880988,0.451291442,0.358136745,49.45923125,57.03851451,0.0,764.8027269,3.019551793,1.001182882,4.421794973,3.264045858,0.668699092,-3.019551793,0.244494065,0.068616466,-3574.557287,-3574.442165,0.918494,0.000386121,2.765572617,1.20045,1.1582,-4.684603349,-0.40571,1.25229,1.21534,-0.556328,0.349126,0.416871,-8.602063042,-4.321712174,4.280350868,2.140175434,0.467251415,6.461887608,9.755273047,1.21534,1.25229,0.905964638,0.936230432,2.411803256,2.441398621,0.06582525808139962,0.439945956,0.598630265,0.3605379868315166,0.135669027,0.948005963,5.477198226639305,0.308376574780926,1.1582,1.20045,0.5494803497372833,0.8355066398614632,-0.9133242887552822,-0.4072330334951452
L10,1.379795838,1.397444453,-1.014905487,1.768798012,0.548989005,0.490262766,0.539554603,0.559867685,0.209327246,0.170378308,0.198751398,0.118337682,0.888650764,0.810147223,0.920983973,0.960771524,90.24602375,233.4826553,2.451748699,2.289972062,0.535052879,0.959391306,0.895109253,0.539258891,0.519384047,0.452694,0.358475462,51.65975185,68.12436251,59.48832568,850.2290514,3.836918332,4.185226016,5.581897129,4.679811684,0.106996222,-3.836918332,0.842893352,0.06576328,-4240.45796,-4240.32308,0.786667,0.00045239,1.75106607,1.12477,1.17456,-4.612069225,-0.34589,1.14007,1.17752,-0.543845,0.357432,0.357142,-8.74111322,-4.552192605,4.188920615,2.094460307,0.477449965,6.646652912,10.54639106,1.14007,1.17752,0.895109253,0.959391306,2.289972062,2.451748699,0.030745292337330504,0.490262766,0.559867685,0.38853595655775536,0.118337682,0.960771524,12.637250356731863,0.2413760338471227,1.12477,1.17456,0.7579490332744226,-0.6523137764591272,0.8440541607301447,0.5362579358425673
