Ligand#;distance_pi_bond_1;distance_pi_bond_2;dihedral_angle_1;dihedral_angle_2;NE_quad;NW_quad;SW_quad;SE_quad;+,+,+_octant;-,+,+_octant;-,-,+_octant;+,-,+_octant;+,-,-_octant;-,-,-_octant;-,+,-_octant;+,+,-_octant;bite_angle;cone_angle;distance_Rh_max_donor_gaussian;distance_Rh_min_donor_gaussian;buried_volume_Rh_3.5A;buried_volume_donor_max;buried_volume_donor_min;buried_volume_Rh_4A;buried_volume_Rh_5A;buried_volume_Rh_6A;buried_volume_Rh_7A;dispersion_p_int_Rh_gfn2_xtb;dispersion_p_int_donor_max_gfn2_xtb;dispersion_p_int_donor_min_gfn2_xtb;sasa_gfn2_xtb;ip_gfn2_xtb;dipole_gfn2_xtb;ea_gfn2_xtb;electrofugality_gfn2_xtb;nucleofugality_gfn2_xtb;nucleophilicity_gfn2_xtb;electrophilicity_gfn2_xtb;HOMO_LUMO_gap_gfn2_xtb;sum_electronic_and_free_energy_dft;sum_electronic_and_enthalpy_dft;zero_point_correction_dft;entropy_dft;dipole_moment_dft;lone_pair_occupancy_min_donor_dft;lone_pair_occupancy_max_donor_dft;dispersion_energy_dft;nbo_charge_Rh_dft;nbo_charge_min_donor_dft;nbo_charge_max_donor_dft;mulliken_charge_Rh_dft;mulliken_charge_min_donor_dft;mulliken_charge_max_donor_dft;homo_energy_dft;lumo_energy_dft;homo_lumo_gap_dft;hardness_dft;softness_dft;electronegativity_dft;electrophilicity_dft;min_NBO_donor;max_NBO_donor;min_bv_donor;max_bv_donor;Rh_donor_min_d;Rh_donor_max_d;std_quad;min_quad;max_quad;std_oct;min_oct;max_oct;ratio_std_oct_std_quad;ratio_min_oct_min_quad;lone_pair_occ_min;lone_pair_occ_max;bite_angle_sin;bite_angle_cos;cone_angle_sin;cone_angle_cos
L17;1.388727029;1.399945424;24.18099457;6.02395917;0.644614238;0.721161014;0.503494223;0.517377935;0.329575102;0.449496832;0.107389117;0.176714499;0.959653373;0.992825196;0.927366754;0.830273947;98.31465224;231.6444661;2.38736931;2.346828383;0.596388138;0.906232529;0.876316157;0.602100273;0.583076456;0.511485782;0.418932131;65.88771019;64.79215064;50.73723379;884.5560349;3.515083478;1.428870496;5.56589795;4.317135234;0.082153806;-3.515083478;0.802051756;0.076625186;-2866.358221;-2866.231472;0.79631;0.000425118;6.211881217;1.12166;1.15419;-5.256909319;-0.26915;1.26196;1.22196;-0.597744;0.562925;0.579856;-8.38355562;-4.21259452;4.1709611;2.08548055;0.479505791;6.29807507;9.509978307;1.22196;1.26196;0.876316157;0.906232529;2.346828383;2.38736931;0.104507766;0.503494223;0.721161014;0.37059509;0.107389117;0.992825196;3.54610098;0.213287685;1.12166;1.15419;-0.798789233;-0.601610972;-0.740215134;0.672370103
L32;1.389178185;1.389261232;-4.616787866;-4.948256999;0.518612561;0.516516027;0.519847186;0.516399553;0.076220649;0.180068953;0.17918375;0.077105852;0.961004473;0.852963101;0.853615356;0.96258852;91.26745686;222.3121588;2.334118645;2.333368482;0.517651649;0.8996168;0.899902162;0.520164794;0.50511455;0.457072883;0.381757968;52.95211357;58.0545758;57.66546743;863.5149927;3.663286655;1.96789438;5.616579801;4.512801174;0.078934717;-3.663286655;0.849514518;0.07419289;-2755.870848;-2755.750234;0.762891;0.000404541;8.743306963;1.12034;1.12062;-5.125367503;-0.28188;1.08669;1.08674;-0.541731;0.390673;0.391294;-8.470087825;-4.455864302;4.014223523;2.007111761;0.498228359;6.462976063;10.40551413;1.08669;1.08674;0.8996168;0.899902162;2.333368482;2.334118645;0.001678628;0.516399553;0.519847186;0.420424981;0.076220649;0.96258852;250.4574523;0.147600145;1.12034;1.12062;-0.160571764;-0.987024168;0.674966726;-0.737848168
L33;1.389043181;1.389068797;-8.17144219;-8.467586553;0.519404584;0.533987141;0.520709094;0.535594484;0.075335445;0.181047335;0.182165486;0.076407007;0.963473723;0.886926947;0.889023481;0.965011182;90.5299928;242.3027927;2.326484332;2.327489346;0.527773248;0.904118524;0.9041127;0.538494662;0.548782363;0.529868702;0.489859845;56.96867788;59.30070845;60.42020547;1110.218263;4.897318641;0.375626968;6.90297572;7.025680048;0.071385688;-4.897318641;2.128361407;0.075996449;-5598.228551;-5598.023379;0.840613;0.00068815;3.606458692;1.1188;1.11877;-6.095336436;-0.28688;1.087;1.08875;-0.583871;0.389757;0.389757;-8.71852777;-4.997370864;3.721156906;1.860578453;0.537467258;6.857949317;12.63893731;1.087;1.08875;0.9041127;0.904118524;2.326484332;2.327489346;0.00854854;0.519404584;0.535594484;0.429051958;0.075335445;0.965011182;50.19008429;0.145041933;1.11877;1.1188;0.544836528;-0.838542282;-0.389564209;-0.920999309
L34;1.38920899;1.389361942;-3.725967222;-3.818762497;0.516259784;0.516748975;0.5179836;0.515770593;0.073005963;0.180022363;0.178484905;0.075102497;0.959513604;0.853475587;0.85305628;0.960864704;91.58755947;222.8109737;2.335190635;2.333885375;0.516649972;0.898661713;0.89871995;0.519214357;0.504105437;0.456092113;0.383055908;53.04698376;57.95201236;58.25583271;957.2948698;3.513309211;2.054784816;5.500708416;4.272962805;0.104945178;-3.513309211;0.759653594;0.074014928;-2912.739848;-2912.598881;0.871835;0.000472806;10.84923855;1.11818;1.11867;-5.515785239;-0.407;1.21895;1.21896;-0.536323;0.395618;0.395384;-8.331581875;-4.321712174;4.009869701;2.00493485;0.498769324;6.326647024;9.981985838;1.21895;1.21896;0.898661713;0.89871995;2.333885375;2.335190635;0.00094996;0.515770593;0.5179836;0.420804255;0.073005963;0.960864704;442.9705102;0.141547355;1.11818;1.11867;-0.462996155;-0.886360288;0.239746478;-0.97083553
L35;1.389475521;1.389493709;-4.213739784;-4.193059013;0.514768915;0.521151696;0.515537644;0.520615915;0.071934402;0.184401789;0.183982482;0.072540067;0.957603429;0.857901603;0.857249348;0.958535222;91.82377475;230.8333568;2.334401649;2.334583633;0.517727357;0.898871366;0.899279025;0.520389796;0.51555651;0.483893827;0.426590261;54.38234807;57.9754991;58.56195684;1015.394957;3.437520991;2.172260206;5.43105954;4.146608318;0.124027787;-3.437520991;0.709087327;0.074641652;-3069.606439;-3069.446592;0.98082;0.000536129;2.991824388;1.1188;1.11883;-6.024622427;-0.28127;1.091;1.09096;-0.521833;0.38884;0.389359;-8.272805283;-4.264296151;4.008509132;2.004254566;0.498938616;6.268550717;9.802828633;1.09096;1.091;0.898871366;0.899279025;2.334401649;2.334583633;0.003330562;0.514768915;0.521151696;0.420579568;0.071934402;0.958535222;126.2788562;0.139741154;1.1188;1.11883;-0.657569246;-0.753394111;-0.997285146;-0.073636529
L36;1.3888023;1.389141524;-4.27463754;-3.926050712;0.521687477;0.523318114;0.524482855;0.521105106;0.080833023;0.187243757;0.187430116;0.083162505;0.962541931;0.859392471;0.854780097;0.965803205;91.94235997;223.5096036;2.328633855;2.33230214;0.522520266;0.900746599;0.902330647;0.524951896;0.510305966;0.462379246;0.385571378;53.29309931;57.88547947;56.35710207;876.9940207;3.313699953;0.032755865;5.252362749;3.908697434;0.188634732;-3.313699953;0.594997481;0.076207933;-2760.582989;-2760.456901;0.855613;0.000422901;8.928515322;1.11988;1.11923;-5.268053538;-0.28593;1.08466;1.08467;-0.538405;0.383973;0.386677;-8.485054086;-4.318991035;4.166063051;2.083031526;0.480069547;6.402022561;9.838039503;1.08466;1.08467;0.900746599;0.902330647;2.328633855;2.33230214;0.001540441;0.521105106;0.524482855;0.418640109;0.080833023;0.965803205;271.7664799;0.155118463;1.11923;1.11988;-0.742083304;-0.670307669;-0.440831825;-0.897589718
L37;1.389387752;1.389340798;5.271677978;5.105783897;0.510622438;0.516632501;0.510832091;0.51542117;0.176714499;0.075708163;0.074636601;0.176854268;0.844530376;0.957556839;0.95620574;0.844809914;92.10840527;222.5965028;2.332982944;2.33292553;0.513342108;0.897141726;0.897502795;0.515928558;0.501058387;0.45259649;0.376294382;52.03819578;57.05361732;57.39634884;830.8424176;3.468867397;0.506195173;5.348391102;4.133414004;0.162155506;-3.468867397;0.664546608;0.076147211;-2825.620834;-2825.499104;0.700406;0.000408284;3.235272491;1.12029;1.12044;-4.601110909;-0.28929;1.09012;1.09031;-0.536859;0.395172;0.396012;-8.322874231;-4.382665676;3.940208555;1.970104278;0.507587345;6.352769954;10.24252537;1.09012;1.09031;0.897141726;0.897502795;2.33292553;2.332982944;0.003100596;0.510622438;0.516632501;0.418080596;0.074636601;0.957556839;134.8387736;0.146167883;1.12029;1.12044;-0.842667475;-0.53843433;0.440877072;-0.897567495
L38;1.389574689;1.389560167;5.611686268;5.576834788;0.513883712;0.515118338;0.514699031;0.514489378;0.177087216;0.073145732;0.072307119;0.177273574;0.850680209;0.957090943;0.956671636;0.852124488;91.86575793;231.2604797;2.331336077;2.331481202;0.514728149;0.897264023;0.897828923;0.517007014;0.5120187;0.478818767;0.419923376;53.85105504;58.73856078;59.36779092;997.2826951;3.219682438;0.517795727;5.146236388;3.750169572;0.230250746;-3.219682438;0.530487134;0.076496871;-3139.351155;-3139.194135;0.919167;0.000526648;3.15310355;1.11816;1.11816;-5.460862138;-0.42619;1.20764;1.20768;-0.54149;0.396087;0.396614;-8.178653891;-4.163069799;4.015584092;2.007792046;0.498059549;6.170861845;9.482938232;1.20764;1.20768;0.897264023;0.897828923;2.331336077;2.331481202;0.000514072;0.513883712;0.515118338;0.42025623;0.072307119;0.957090943;817.5044936;0.140707163;1.11816;1.11816;-0.68861041;-0.725131508;-0.938194628;0.346108133
L39;1.38964221;1.389485954;6.117127228;7.581954387;0.542396571;0.538226798;0.520033545;0.553834327;0.196701454;0.103848304;0.129798733;0.176155423;0.888091688;0.972605293;0.977869922;0.863911666;90.8211261;256.7059609;2.319125554;2.325521924;0.538995527;0.906779957;0.903134318;0.559819378;0.586103797;0.577277881;0.540098086;64.2211773;64.81266393;65.80290966;1265.523422;3.280478558;0.963844026;5.341388036;3.92036658;0.144499987;-3.280478558;0.639888023;0.07614337;-4537.427411;-4537.197741;1.73372;0.000770317;1.790588493;1.11148;1.10835;-9.37492744;-0.25078;1.07915;1.09085;-0.714771;0.398854;0.392111;-8.104911037;-4.031910923;4.073000114;2.036500057;0.491038533;6.06841098;9.041397198;1.07915;1.09085;0.903134318;0.906779957;2.319125554;2.325521924;0.014039814;0.520033545;0.553834327;0.416392496;0.103848304;0.977869922;29.65797837;0.199695395;1.10835;1.11148;0.28121585;-0.959644541;-0.786200694;0.617971252
L41;1.389146133;1.389062482;-5.705058562;-3.268312319;0.551085539;0.533800783;0.536339918;0.527324823;0.127096534;0.203130824;0.182398435;0.102077898;0.975074543;0.864470742;0.872251211;0.970601938;91.08660045;258.4516671;2.31929495;2.317522763;0.537440598;0.907187616;0.903972931;0.557716777;0.582579783;0.573606513;0.537986087;62.91056487;65.84372981;66.08218385;1261.154586;3.149328086;1.052088183;5.227263665;3.712224944;0.181633192;-3.149328086;0.562896858;0.075139492;-4389.610936;-4389.380661;1.766935;0.000772346;6.161740666;1.11047;1.11131;-9.415569951;-0.23877;1.08116;1.13366;-0.694515;0.393008;0.38565;-8.125047462;-4.00061783;4.124429632;2.062214816;0.484915535;6.062832646;8.912247989;1.08116;1.13366;0.903972931;0.907187616;2.317522763;2.31929495;0.010043343;0.527324823;0.551085539;0.412992431;0.102077898;0.975074543;41.12101076;0.193576888;1.11047;1.11131;0.019585252;-0.999808191;0.745356549;0.666666044
