Ligand#;distance_pi_bond_1;distance_pi_bond_2;dihedral_angle_1;dihedral_angle_2;NE_quad;NW_quad;SW_quad;SE_quad;+,+,+_octant;-,+,+_octant;-,-,+_octant;+,-,+_octant;+,-,-_octant;-,-,-_octant;-,+,-_octant;+,+,-_octant;bite_angle;cone_angle;distance_Rh_max_donor_gaussian;distance_Rh_min_donor_gaussian;buried_volume_Rh_3.5A;buried_volume_donor_max;buried_volume_donor_min;buried_volume_Rh_4A;buried_volume_Rh_5A;buried_volume_Rh_6A;buried_volume_Rh_7A;dispersion_p_int_Rh_gfn2_xtb;dispersion_p_int_donor_max_gfn2_xtb;dispersion_p_int_donor_min_gfn2_xtb;sasa_gfn2_xtb;ip_gfn2_xtb;dipole_gfn2_xtb;ea_gfn2_xtb;electrofugality_gfn2_xtb;nucleofugality_gfn2_xtb;nucleophilicity_gfn2_xtb;electrophilicity_gfn2_xtb;HOMO_LUMO_gap_gfn2_xtb;sum_electronic_and_free_energy_dft;sum_electronic_and_enthalpy_dft;zero_point_correction_dft;entropy_dft;dipole_moment_dft;lone_pair_occupancy_min_donor_dft;lone_pair_occupancy_max_donor_dft;dispersion_energy_dft;nbo_charge_Rh_dft;nbo_charge_min_donor_dft;nbo_charge_max_donor_dft;mulliken_charge_Rh_dft;mulliken_charge_min_donor_dft;mulliken_charge_max_donor_dft;homo_energy_dft;lumo_energy_dft;homo_lumo_gap_dft;hardness_dft;softness_dft;electronegativity_dft;electrophilicity_dft;min_NBO_donor;max_NBO_donor;min_bv_donor;max_bv_donor;Rh_donor_min_d;Rh_donor_max_d;std_quad;min_quad;max_quad;std_oct;min_oct;max_oct;ratio_std_oct_std_quad;ratio_min_oct_min_quad;lone_pair_occ_min;lone_pair_occ_max;bite_angle_rad;bite_angle_sin;bite_angle_cos;cone_angle_rad;cone_angle_sin;cone_angle_cos
L1;1.391551603;1.392561642;8.211997294;7.792426486;0.505264629;0.549361722;0.503750466;0.463427134;0.116846813;0.121505777;0.078689899;0.134923593;0.893682445;0.977217667;0.848164368;0.872577339;89.53726157;225.0411919;2.336326516;2.337786453;0.505392751;0.907304091;0.901783218;0.510734126;0.496458248;0.4487267;0.36816518;50.81239883;58.64633967;0;822.2537863;3.213215249;0.915063451;4.979555933;3.667846598;0.321075415;-3.213215249;0.454631349;0.062762253;-3722.066448;-3721.946782;0.852673;0.000401362;7.471889034;1.14995;1.11703;-4.642859628;-0.38648;1.18283;1.24547;-0.510699;0.317992;0.374331;-6.323109544;-2.130651449;4.192458095;2.096229047;0.477047106;4.226880497;4.261585526;1.18283;1.24547;0.901783218;0.907304091;2.336326516;2.337786453;0.035105001;0.463427134;0.549361722;0.421454012;0.078689899;0.977217667;12.00552614;0.169799939;1.11703;1.14995;1.562720018;0.999983693;0.504038111;3.927709751;0.146192519;0.146700882
L4;1.394332208;1.386938342;0.413543884;-5.655157005;0.435589825;0.481457324;0.528885576;0.560706299;0.118197913;0.151882221;0.191157287;0.09918934;0.752981737;0.811032426;0.930255311;0.958581811;90.58823002;227.5318414;2.379496081;2.301003795;0.501525811;0.908649366;0.891632501;0.508410403;0.502262622;0.459663704;0.381074131;50.71104082;62.70676526;54.24790225;814.1235739;3.179705095;0.95612876;4.94833318;3.617244639;0.335206364;-3.179705095;0.437539544;0.06980913;-3722.062972;-3721.945191;0.853538;0.000395039;4.901199748;1.123;1.1514;-4.681298537;-0.39687;1.20672;1.23676;-0.453715;0.35617;0.394441;-6.434948337;-2.13636584;4.298582496;2.149291248;0.465269656;4.285657088;4.272770546;1.20672;1.23676;0.891632501;0.908649366;2.301003795;2.379496081;0.054775644;0.435589825;0.560706299;0.392633531;0.09918934;0.958581811;7.1680313;0.227712711;1.123;1.1514;1.581062877;0.99997365;0.494866815;3.971179786;0.131173663;0.162409815
L5;1.389818655;1.389490117;17.17093419;-8.328808531;0.542373276;0.506708908;0.482855013;0.518519381;0.17396571;0.181606411;0.074263884;0.054789415;0.910780842;0.831811405;0.962774879;0.910920611;87.27755607;216.6068467;2.30221554;2.318712081;0.512579202;0.916301714;0.901492033;0.520172553;0.51596055;0.47729829;0.401488219;52.80451038;63.57450485;56.18689858;874.4949326;3.134735337;0.647215454;5.086640811;3.626822069;0.251445921;-3.134735337;0.492086732;0.068976721;-3871.853527;-3871.718738;0.821315;0.000452085;3.266438104;1.13027;1.10433;-4.854243553;-0.39062;1.20679;1.23527;-0.467351;0.299794;0.372038;-6.450458826;-2.187795358;4.262663468;2.131331734;0.469190218;4.319127092;4.376338638;1.20679;1.23527;0.901492033;0.916301714;2.30221554;2.318712081;0.024771997;0.482855013;0.542373276;0.422191503;0.054789415;0.962774879;17.04309543;0.113469703;1.10433;1.13027;1.523280717;0.999435673;0.523748866;3.780502657;0.201839597;0.098626889
L6;1.385314389;1.391119803;2.831570361;6.568296199;0.550479873;0.570583302;0.552413343;0.534499627;0.127189713;0.200149087;0.186777861;0.129332836;0.973770034;0.941017518;0.882221394;0.97549385;91.92822159;234.1873306;2.36332;2.298549293;0.552075568;0.91205041;0.904444652;0.558380144;0.550160039;0.504166856;0.42855923;54.74275647;63.88376993;59.81312878;937.0153181;4.276676232;5.163499621;5.992334216;5.451030431;0.028019983;-4.276676232;1.174354199;0.057591252;-5067.981732;-5067.823213;0.873034;0.000531675;4.480185892;1.14333;1.13538;-5.234619823;-0.39077;1.15602;1.2226;-0.574396;0.293367;0.367878;-6.505425824;-2.377458712;4.127967112;2.063983556;0.484499984;4.441442268;4.778722524;1.15602;1.2226;0.904444652;0.91205041;2.298549293;2.36332;0.014765767;0.534499627;0.570583302;0.419849529;0.127189713;0.97549385;28.4339795;0.23796034;1.13538;1.14333;1.604450142;0.999716882;0.483176268;4.087339985;0.094532774;0.207431497
L7;1.385166572;1.394002924;9.36992725;4.925155729;0.541418189;0.542815878;0.511740589;0.600144428;0.19330041;0.213333955;0.221766679;0.13790533;0.889535967;0.872297801;0.978522177;0.885575848;93.98650556;217.1940168;2.373889543;2.295553474;0.5490123;0.910681839;0.888353755;0.547494724;0.52184179;0.473452311;0.404973586;61.80646914;68.30599345;69.93114299;938.012823;3.06129675;1.791169971;4.966679676;3.491690003;0.309713577;-3.06129675;0.430393252;0.063125706;-4107.464874;-4107.317689;1.027487;0.000493661;7.070734119;1.12233;1.14149;-5.423892367;-0.35732;1.14986;1.09986;-0.652513;0.36305;0.285489;-6.295898159;-1.994866638;4.301031521;2.150515761;0.46500473;4.145382399;3.995366029;1.09986;1.14986;0.888353755;0.910681839;2.295553474;2.373889543;0.036967282;0.511740589;0.600144428;0.384249393;0.13790533;0.978522177;10.39431001;0.269482884;1.12233;1.14149;1.640373974;0.998790226;0.465239238;3.790750709;0.197742034;0.101703475
L8;1.390967817;1.38798762;4.797817278;0.558122212;0.504891912;0.472092807;0.501677227;0.530027022;0.11982855;0.14428811;0.152581066;0.075801342;0.889955274;0.799897503;0.907472978;0.927553112;91.61908178;230.3353938;2.323357786;2.305246222;0.502312011;0.911322447;0.889110837;0.505931506;0.50466715;0.488424645;0.438212657;52.51047798;63.79446076;58.39711137;1042.61645;4.227014704;5.645431821;6.028754053;5.428685707;0.01891695;-4.227014704;1.201671003;0.062201667;-5217.782108;-5217.607595;0.840825;0.000585319;3.658586713;1.14784;1.09846;-5.224383583;-0.34026;1.10934;1.20504;-0.466701;0.351799;0.397045;-6.521480541;-2.471610104;4.049870437;2.024935218;0.493842959;4.496545323;4.9924856;1.10934;1.20504;0.889110837;0.911322447;2.305246222;2.323357786;0.023722723;0.472092807;0.530027022;0.407519932;0.075801342;0.927553112;17.17846323;0.160564493;1.09846;1.14784;1.599054635;0.99980038;0.485872726;4.020111006;0.115103;0.180853796
L9;1.39216687;1.396286479;11.31144079;13.71010085;0.440598211;0.528186731;0.499580693;0.598327432;0.139489378;0.217433843;0.249114797;0.135808796;0.741707044;0.83893962;0.947540067;0.86335259;94.85304439;242.971768;2.409788903;2.441148274;0.516382082;0.906156821;0.936370201;0.522961796;0.509048516;0.451374212;0.358234233;49.51611892;57.17894183;0;764.0027474;3.021589128;0.99351752;4.421000169;3.266116256;0.669526958;-3.021589128;0.244527127;0.068933643;-3574.602965;-3574.487745;0.917634;0.00038645;3.820321172;1.20104;1.16045;-4.689117103;-0.40543;1.25272;1.21359;-0.538339;0.344799;0.41694;-6.43304354;-2.031874122;4.401169418;2.200584709;0.454424679;4.232458831;4.070215448;1.21359;1.25272;0.906156821;0.936370201;2.409788903;2.441148274;0.065522344;0.440598211;0.598327432;0.360314496;0.135808796;0.947540067;5.499108757;0.308237284;1.16045;1.20104;1.65549793;0.998207482;0.45769982;4.240657341;0.054608642;0.27278526
L10;1.380197924;1.398153548;-0.847041668;1.454848364;0.548895826;0.489191204;0.540113679;0.559541558;0.20751025;0.16884085;0.199077525;0.119083116;0.890281401;0.809541558;0.920005591;0.961144242;90.28730554;232.162639;2.451067072;2.289281352;0.534621925;0.959204948;0.895068487;0.538878716;0.518824304;0.452275613;0.357909036;51.78347889;70.13648056;58.84849;850.3590606;3.849204781;4.313458521;5.593194712;4.700543422;0.104143929;-3.849204781;0.851338641;0.066105072;-4240.510761;-4240.375951;0.785873;0.000452155;2.57856996;1.12783;1.17652;-4.612748473;-0.34664;1.13994;1.18024;-0.519541;0.358649;0.354014;-6.528555501;-2.206843328;4.321712174;2.160856087;0.462779547;4.367699414;4.414176004;1.13994;1.18024;0.895068487;0.959204948;2.289281352;2.451067072;0.031191362;0.489191204;0.559541558;0.388876851;0.119083116;0.961144242;12.4674533;0.243428572;1.12783;1.17652;1.575810754;0.999993714;0.497492797;4.052002451;0.105122408;0.193288919
L11;1.389490442;1.389856809;17.33837599;-8.306974592;0.542606224;0.506871972;0.482831718;0.518822214;0.174198658;0.181839359;0.074636601;0.054789415;0.911013791;0.831904584;0.963007827;0.910874022;87.27600777;216.436037;2.302254663;2.31893757;0.512678205;0.916295891;0.901602684;0.52025014;0.515999968;0.477314164;0.401526645;53.05837062;63.6200617;56.14464962;874.0549293;3.134200451;0.651295054;5.086069654;3.625958579;0.251688474;-3.134200451;0.491758128;0.069032535;-3871.852983;-3871.718742;0.821364;0.000450247;3.350587319;1.13027;1.10429;-4.855044349;-0.39635;1.20592;1.2355;-0.467933;0.299823;0.37166;-6.451819395;-2.188339586;4.26347981;2.131739905;0.46910038;4.320079491;4.377430559;1.20592;1.2355;0.901602684;0.916295891;2.302254663;2.31893757;0.024885848;0.482831718;0.542606224;0.42215411;0.054789415;0.963007827;16.96362142;0.113475178;1.10429;1.13027;1.523253694;0.999435031;0.523762363;3.777521466;0.203037491;0.097739801
L12;1.398145936;1.379677426;6.951090762;6.734562837;0.544003914;0.472022922;0.501793701;0.57274972;0.190831159;0.14815505;0.227217667;0.086843086;0.897176668;0.795890794;0.918281774;0.916744316;90.99010556;225.7865325;2.442208849;2.273620656;0.522660035;0.956118384;0.875052413;0.526674322;0.503979297;0.433684067;0.334578853;49.54763124;71.14043135;54.54632911;717.8538075;3.161174305;0.89391438;4.772676811;3.529655983;0.441804867;-3.161174305;0.368481678;0.066101507;-3563.193614;-3563.080633;0.714454;0.00037894;4.739392001;1.13123;1.17355;-3.987547323;-0.35941;1.05971;1.18212;-0.552983;0.355376;0.357853;-6.486377854;-2.142896573;4.343481282;2.171740641;0.46046014;4.314637214;4.285984692;1.05971;1.18212;0.875052413;0.956118384;2.273620656;2.442208849;0.044587209;0.472022922;0.57274972;0.388094931;0.086843086;0.918281774;8.704176379;0.183980654;1.13123;1.17355;1.588076929;0.999925347;0.491360129;3.940718399;0.141626641;0.151333202
