Ligand#;BCUT2D_CHGHI;BCUT2D_CHGLO;BCUT2D_LOGPHI;BCUT2D_LOGPLOW;BCUT2D_MRHI;BCUT2D_MRLOW;BCUT2D_MWHI;BCUT2D_MWLOW;BalabanJ;BertzCT;Chi0;Chi0n;Chi0v;Chi1;Chi1n;Chi1v;Chi2n;Chi2v;Chi3n;Chi3v;Chi4n;Chi4v;EState_VSA1;EState_VSA10;EState_VSA11;EState_VSA2;EState_VSA3;EState_VSA4;EState_VSA5;EState_VSA6;EState_VSA7;EState_VSA8;EState_VSA9;ExactMolWt;FpDensityMorgan1;FpDensityMorgan2;FpDensityMorgan3;FractionCSP3;HallKierAlpha;HeavyAtomCount;HeavyAtomMolWt;Ipc;Kappa1;Kappa2;Kappa3;LabuteASA;MaxAbsEStateIndex;MaxAbsPartialCharge;MaxEStateIndex;MaxPartialCharge;MinAbsEStateIndex;MinAbsPartialCharge;MinEStateIndex;MinPartialCharge;MolLogP;MolMR;MolWt;NHOHCount;NOCount;NumAliphaticCarbocycles;NumAliphaticHeterocycles;NumAliphaticRings;NumAromaticCarbocycles;NumAromaticHeterocycles;NumAromaticRings;NumHAcceptors;NumHDonors;NumHeteroatoms;NumRotatableBonds;NumSaturatedCarbocycles;NumSaturatedHeterocycles;NumSaturatedRings;NumValenceElectrons;PEOE_VSA1;PEOE_VSA10;PEOE_VSA11;PEOE_VSA12;PEOE_VSA13;PEOE_VSA14;PEOE_VSA2;PEOE_VSA3;PEOE_VSA4;PEOE_VSA5;PEOE_VSA6;PEOE_VSA7;PEOE_VSA8;PEOE_VSA9;RingCount;SMR_VSA1;SMR_VSA10;SMR_VSA3;SMR_VSA4;SMR_VSA5;SMR_VSA6;SMR_VSA7;SMR_VSA9;SlogP_VSA1;SlogP_VSA10;SlogP_VSA11;SlogP_VSA12;SlogP_VSA2;SlogP_VSA3;SlogP_VSA4;SlogP_VSA5;SlogP_VSA6;SlogP_VSA7;SlogP_VSA8;TPSA;VSA_EState1;VSA_EState10;VSA_EState2;VSA_EState3;VSA_EState4;VSA_EState5;VSA_EState6;VSA_EState7;VSA_EState8;VSA_EState9;fr_Ar_N;fr_C_O;fr_C_O_noCOO;fr_Imine;fr_NH0;fr_NH1;fr_NH2;fr_Ndealkylation2;fr_alkyl_halide;fr_allylic_oxid;fr_amide;fr_aniline;fr_aryl_methyl;fr_benzene;fr_bicyclic;fr_ether;fr_furan;fr_halogen;fr_methoxy;fr_morpholine;fr_para_hydroxylation;fr_piperdine;fr_pyridine;fr_sulfide;fr_sulfonamd;fr_unbrch_alkane;qed
L17;2.2293410711195794;-2.2696110929007247;2.4866962807370134;-2.178569680475227;7.742898939317825;1.6421675034942627;31.138928536369022;9.911749045778336;1.3696217268245932;2048.024781845269;32.12453432899736;26.36963580506795;28.15849018706778;23.831632475943923;16.210442940016886;18.893724513016625;11.65514165990211;15.509587159879226;8.630127586141187;12.817307575115448;6.373610312885428;10.221876530785785;16.14462839311839;0.0;0.0;0.0;0.0;11.374772549367124;53.889959426208804;0.0;0.0;204.2983363169258;0.0;652.219722348;0.2708333333333333;0.5625;0.8958333333333334;0.0;-5.259999999999997;48.0;618.4460000000001;228074982999.6427;30.097321360176252;13.84408901607938;6.095335673293437;284.29171709376595;4.121773139428713;0.35644557721552067;4.121773139428713;0.052249557768980215;0.897300003632375;0.052249557768980215;-0.8973000036323753;-0.35644557721552067;10.579599999999994;212.27939999999955;652.7180000000002;2.0;2.0;0.0;0.0;0.0;8.0;0.0;8.0;2.0;2.0;4.0;9.0;0.0;0.0;0.0;230.0;10.174590126154305;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;181.9910120538483;33.677630994782405;43.71983511771674;16.14462839311839;8.0;0.0;70.28245738530033;0.0;0.0;0.0;10.174590126154305;194.1237461907715;11.126902983393991;31.392749711109936;11.374772549367124;0.0;16.14462839311839;0.0;0.0;0.0;0.0;194.1237461907715;0.0;32.671799841253176;24.06;0.0;0.0;0.0;18.257063514919277;4.663899806836316;0.0;70.02178483365732;0.0;0.0;-1.7946000072647503;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;8.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.15171189182313363
L32;2.274744553453786;-2.2812539658397184;2.4513895276794635;-2.2577849806480175;7.8047961073048695;1.7170290340916052;31.132895968452697;9.934795021228563;1.5284837407959944;2002.7856610009694;30.710320766624267;25.36963580506795;27.15849018706778;22.865305980755142;15.710442940016886;18.39372451301663;11.374665415054457;15.745508694525894;8.603434961723075;13.570563035194455;6.580977167279045;11.529981327930715;15.843176184687021;0.0;0.0;0.0;0.0;0.0;64.49903921868662;0.0;0.0;194.1237461907715;0.0;622.197924284;0.2391304347826087;0.5217391304347826;0.8478260869565217;0.0;-4.859999999999997;46.0;590.4320000000001;87689407603.22473;28.60268819529799;12.863532863648432;5.352145909502322;273.07957397503395;2.4188729318888047;0.06222246773186992;2.4188729318888047;-0.0008835517212881742;0.8519614570794025;0.0008835517212881742;-0.8519614570794027;-0.06222246773186992;9.176400000000001;204.3019999999995;622.6880000000002;0.0;0.0;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;2.0;7.0;0.0;0.0;0.0;218.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;194.1237461907715;80.34221540337364;0.0;0.0;8.0;0.0;69.21531241997965;0.0;0.0;0.0;0.0;194.1237461907715;11.126902983393991;31.827239377433443;0.0;0.0;15.843176184687021;0.0;0.0;0.0;0.0;194.1237461907715;0.0;32.671799841253176;0.0;0.0;0.0;0.0;13.330693123948897;2.7001471823297223;0.0;71.82123075602833;0.0;0.0;-1.7039229141588053;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1556018112156914
L33;2.446820464984734;-2.305959568907654;2.525773242610543;-2.297864344050972;7.8049469118348815;-0.1441361361502297;31.13290373486;10.018846248457459;2.00205014546889;2708.617792250537;58.84384154590268;38.83617201211084;40.62502639411067;35.501433324870405;20.814308512427786;23.497590085427532;16.17470745546296;20.545550734934423;11.075287689176273;15.842698226383597;7.6901815423089905;12.948513316913253;199.97883422562035;105.3699611441957;0.0;48.53093654769288;26.352329219478285;26.352329219478285;0.0;0.0;0.0;0.0;18.947451815200196;1186.1079599160003;0.24358974358974358;0.4230769230769231;0.5641025641025641;0.25;-6.300000000000002;78.0;1158.424;6229654516277086.0;60.92103251973096;21.062172991343132;13.227655192407989;424.52258087257997;14.663972462329731;0.4965993483302833;14.663972462329731;0.4159482357807254;0.10530362892899658;0.4159482357807254;-5.806044633416038;-0.4965993483302833;15.054799999999977;235.51399999999956;1186.6480000000004;0.0;4.0;0.0;0.0;0.0;6.0;0.0;6.0;4.0;0.0;30.0;11.0;0.0;0.0;0.0;422.0;18.947451815200196;22.99804733313562;0.0;0.0;0.0;49.410388139547806;0.0;0.0;105.3699611441957;0.0;0.0;121.99047472810523;33.86871691279502;72.94680209868609;6.0;124.31741295939591;47.67041556212047;0.0;0.0;49.410388139547806;28.439190165110134;141.56948502896176;34.12495031652961;50.77469119263364;105.3699611441957;22.99804733313562;15.843176184687021;28.439190165110134;49.410388139547806;0.0;44.507611933575966;97.06187309538579;0.0;11.126902983393991;36.92;373.45258719287546;0.0;0.0;-7.691674554068127;-19.81204022932156;-3.0769753155828194;-0.05171127724145341;-46.44835706732827;0.0;-4.890347267851654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;6.0;0.0;4.0;0.0;24.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.09569228442421907
L34;2.278395241782248;-2.283902989952727;2.454151012196286;-2.2600318348465414;7.804838916427692;1.4852813847892459;31.132896614098883;9.934780764884977;1.5148388231046306;2172.5056362903388;34.191294718636584;29.060234728309446;30.84908911030928;24.440693381224552;17.353177350108716;20.03645892310845;13.374665415054448;17.745508694525892;9.714546072834183;14.68167414630556;7.048054617229129;11.90481319922165;15.843176184687021;0.0;0.0;0.0;0.0;0.0;86.7528451854746;0.0;0.0;197.5532267156876;0.0;678.26052454;0.28;0.56;0.86;0.08333333333333333;-4.859999999999996;50.0;638.476;355413571836.80316;32.35073548848818;13.804902423958836;6.201952253040447;298.53934243262034;2.4391450407323423;0.06162898645671816;2.4391450407323423;-0.000883551703689513;0.8853730137232825;0.000883551703689513;-0.8853730137232829;-0.06162898645671816;10.410079999999995;223.24999999999937;678.796;0.0;0.0;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;2.0;7.0;0.0;0.0;0.0;242.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;192.11208388371307;108.03716420213613;0.0;0.0;8.0;0.0;69.21531241997965;0.0;0.0;27.694948798762496;0.0;192.11208388371307;11.126902983393991;31.827239377433443;0.0;0.0;15.843176184687021;0.0;0.0;27.694948798762496;22.253805966787983;169.8582779169251;0.0;32.671799841253176;0.0;0.0;0.0;0.0;13.399934671909781;7.838742356606161;0.0;64.6238274669337;0.0;8.723056346811758;-1.7707460274465654;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;8.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14727723932497053
L35;2.2877080512005645;-2.291685590890213;2.4606036143508643;-2.268033211740893;7.805069880954789;1.3982586760472706;31.132897352498286;9.934738303277117;1.5592335883640847;2344.5655610166655;37.6722686706489;32.75083365155094;34.53968803355077;26.016080781693958;18.995911760200546;21.67919333320029;15.416117299381828;19.78696057885326;10.404459417248065;15.21181346170821;8.59168778389981;14.321467895869725;15.843176184687021;0.0;0.0;0.0;0.0;0.0;109.00665115226258;0.0;0.0;200.98270724060367;0.0;734.323124796;0.2777777777777778;0.5370370370370371;0.8148148148148148;0.15384615384615385;-4.859999999999996;54.0;686.5199999999999;1220144278510.4648;36.13287406705893;14.757675297092511;7.070165289267844;323.9991108902068;2.472370874275636;0.06162898645671816;2.472370874275636;-0.0008835470070698036;0.9373524035814593;0.0008835470070698036;-0.9373524035814598;-0.06162898645671816;11.64375999999999;242.19799999999927;734.904;0.0;0.0;0.0;0.0;0.0;8.0;0.0;8.0;0.0;0.0;2.0;7.0;0.0;0.0;0.0;266.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;190.10042157665464;135.73211300089864;0.0;0.0;8.0;0.0;69.21531241997965;0.0;0.0;55.38989759752498;0.0;190.10042157665464;11.126902983393991;31.827239377433443;0.0;0.0;15.843176184687021;0.0;0.0;55.38989759752498;44.507611933575966;145.59280964307868;0.0;32.671799841253176;0.0;0.0;0.0;0.0;13.580008951085793;13.200846588759386;0.0;56.6030981903462;0.0;17.972232558453005;-1.874704807162919;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;8.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14307431538309792
L36;2.3117998481279507;-2.3285327144774395;2.4615547463158682;-2.2873293183516963;7.8043640831209204;0.6821878068490307;31.132896008739348;9.807134369645137;1.4797202739238466;1708.2028120987532;30.710320766624264;26.407687901043317;28.196542283043147;22.865305980755146;16.969955964010722;19.653237537010465;12.621961676967292;16.99280495643873;9.811004752654513;14.778132826125898;7.724560694338319;12.70257929312483;15.843176184687021;0.0;0.0;0.0;0.0;0.0;83.19381236084153;33.380708950181976;0.0;145.59280964307868;0.0;630.26052454;0.30434782608695654;0.6086956521739131;0.9347826086956522;0.18181818181818182;-3.819999999999997;46.0;590.4320000000001;87689407603.22473;29.57346494382621;13.498312532825858;5.682900988627382;276.6241195196779;2.546121372931889;0.062222467731887984;2.546121372931889;-0.00559498779838246;0.7518700455147764;0.00559498779838246;-0.7518700455147767;-0.062222467731887984;8.627600000000005;202.57399999999944;630.7520000000002;0.0;0.0;2.0;0.0;2.0;6.0;0.0;6.0;0.0;0.0;2.0;7.0;0.0;0.0;0.0;226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;145.59280964307868;132.41769749571054;0.0;0.0;8.0;0.0;47.67041556212047;0.0;0.0;51.36657298340809;0.0;167.8466156098666;11.126902983393991;31.827239377433443;0.0;0.0;15.843176184687021;0.0;25.683286491704038;0.0;47.93709245849203;145.59280964307868;0.0;11.126902983393991;0.0;0.0;0.0;0.0;8.787461621471362;9.542082231040565;0.0;55.48181845333051;9.840525933335275;0.0;-1.503740091029553;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;6.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1550504754916285
L37;2.3491951138337916;-2.272600898410651;2.5289170394281406;-2.2582422517265535;7.804483094028516;0.1726425858419111;31.132895886449976;10.018084919510121;1.4625539840610855;1694.6973378865102;29.29610720425117;23.79804037577949;25.58689475777932;21.86530598075514;14.52693952094461;17.210221093944355;10.399966878026971;14.770810157498415;7.823901419177154;12.791029492648518;5.942609695309322;10.853801504004927;15.843176184687021;0.0;0.0;13.585884612199655;0.0;34.12495031652961;31.827239377433443;0.0;0.0;145.59280964307868;18.947451815200196;610.146282636;0.3409090909090909;0.6590909090909091;0.9772727272727273;0.05263157894736842;-4.619999999999997;44.0;582.3620000000002;42368582760.05659;26.96647399912343;11.811948674560655;4.813490430208712;258.8886477513258;6.351510980935585;0.4535694889579451;6.351510980935585;0.2308355014545267;0.17483484327053977;0.2308355014545267;-0.968450024728684;-0.4535694889579451;6.327400000000007;181.53599999999955;610.5860000000001;0.0;4.0;0.0;2.0;2.0;6.0;0.0;6.0;4.0;0.0;6.0;7.0;0.0;0.0;0.0;214.0;18.947451815200196;0.0;22.99804733313562;13.585884612199655;0.0;0.0;0.0;0.0;0.0;0.0;121.32734136923226;71.9358838359669;11.126902983393991;0.0;8.0;18.947451815200196;47.67041556212047;0.0;0.0;0.0;13.585884612199655;145.59280964307868;34.12495031652961;50.77469119263364;0.0;22.99804733313562;15.843176184687021;13.585884612199655;0.0;0.0;0.0;145.59280964307868;0.0;11.126902983393991;36.92;24.730979812468814;0.0;0.0;7.397888576203874;2.0194990341815737;2.9891246745611815;51.59788641364899;0.0;0.34966968654108;-1.936900049457368;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.19827887482241832
L38;2.355839671596652;-2.2839237397598957;2.5333748007043355;-2.2683800945252637;7.804756081581854;0.17264258453327705;31.132897270408286;10.017881712524666;1.4984997453289592;2028.4133426796122;36.258055108275805;31.17923822226248;32.96809260426231;25.016080781693958;17.812408341128275;20.495689914128015;14.441418762354342;18.812262041825775;9.62492587470213;14.432279919162278;7.953320311930083;13.645288071943947;15.843176184687021;0.0;0.0;13.585884612199655;0.0;34.12495031652961;76.3348513110094;0.0;0.0;152.45177069291077;18.947451815200196;722.271483148;0.34615384615384615;0.6153846153846154;0.8846153846153846;0.21739130434782608;-4.619999999999997;52.0;678.4499999999999;589832725853.8069;34.46498854518508;13.738393322286894;6.487104246079734;309.80818466649873;6.522879293692788;0.453569488957945;6.522879293692788;0.23083550145452672;0.16810015633383246;0.23083550145452672;-1.0538409712307415;-0.453569488957945;8.794760000000004;219.43199999999933;722.802;0.0;4.0;0.0;2.0;2.0;6.0;0.0;6.0;4.0;0.0;6.0;7.0;0.0;0.0;0.0;262.0;18.947451815200196;0.0;22.99804733313562;13.585884612199655;0.0;0.0;0.0;0.0;0.0;0.0;117.30401675511531;127.32578143349187;11.126902983393991;0.0;8.0;18.947451815200196;47.67041556212047;0.0;0.0;55.38989759752498;13.585884612199655;141.56948502896176;34.12495031652961;50.77469119263364;0.0;22.99804733313562;15.843176184687021;13.585884612199655;0.0;55.38989759752498;44.507611933575966;97.06187309538579;0.0;11.126902983393991;36.92;25.352478469068483;0.0;0.0;7.610704445332875;12.054490094524107;3.0256246325690768;36.65169676195526;0.0;17.894169020493184;-2.1076819424614817;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;6.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1545677693238189
L39;2.4106374855026904;-2.351145740653155;2.565279209800354;-2.3120487281323707;7.804986121516306;0.17264257934515453;31.132902631931092;9.791923493491998;1.6702817416286708;2937.313871031698;62.56745618503427;56.50283030735941;58.29168468935924;38.56878033449284;29.952497007152946;32.63577858015269;31.35432724492832;35.72517052439976;16.374493279499536;21.181847323959662;11.941645063018012;17.037328029031936;15.843176184687021;0.0;0.0;56.90580836737388;22.99804733313562;89.2416420425834;21.21815958495563;0.0;28.439190165110134;238.96609761411446;37.89490363040039;1178.6893434200001;0.2857142857142857;0.47619047619047616;0.6428571428571429;0.5135135135135135;-5.419999999999998;84.0;1078.7539999999992;2.997701199722709e+18;64.57538597850194;22.38016471399036;12.30092794009352;508.48074478763107;6.979200502412986;0.4961428196467368;6.979200502412986;0.23083550145452672;0.07011917655215161;0.23083550145452672;-1.4965015667412656;-0.4961428196467368;16.74179999999997;357.34400000000124;1179.5539999999983;0.0;8.0;0.0;2.0;2.0;6.0;0.0;6.0;8.0;0.0;10.0;11.0;0.0;0.0;0.0;454.0;37.89490363040039;22.99804733313562;22.99804733313562;13.585884612199655;0.0;0.0;0.0;0.0;0.0;0.0;166.16969279257498;163.78674413883402;55.634514916969955;28.439190165110134;8.0;37.89490363040039;47.67041556212047;0.0;0.0;209.48961654774928;42.02507477730978;117.30401675511531;57.12299764966523;69.72214300783384;0.0;45.99609466627124;15.843176184687021;42.02507477730978;43.31992375517423;0.0;210.67730472615105;72.79640482153933;0.0;11.126902983393991;73.84000000000002;53.10368978959855;0.0;0.0;6.977210236791491;8.786893204483896;6.419682284606527;28.388292041898847;0.0;55.18695639676499;4.285424194003852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;2.0;8.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1188427230887208
L40;2.3122833455838663;-2.2876527096875905;2.49740206617228;-2.263200498726791;7.804513060288882;0.4108422664233877;35.49678770165701;10.025679825912931;1.7434123408465743;1634.0807568022851;30.46768007950498;24.32325917849712;27.623971452533862;21.617723500579764;14.158451746038448;17.59766226505665;9.962536360018852;15.147779892971505;7.372920862152459;12.935310837430011;5.511458886965662;10.891924439797718;15.843176184687021;0.0;0.0;0.0;21.544290294050462;21.735982775871808;21.21815958495563;14.219595082555067;12.13273413692322;133.46007550615548;32.67560568806513;650.10980882;0.38636363636363635;0.6590909090909091;0.9090909090909091;0.05263157894736842;-3.6399999999999975;44.0;621.27;14182363651.700275;30.388918563310103;13.982351510169837;6.0133498200590445;271.27975205313373;6.963043526494706;0.4945145864492182;6.963043526494706;0.1455956477371959;0.5268999328126314;0.1455956477371959;-1.0219899592209998;-0.4945145864492182;8.194000000000008;192.41399999999953;651.5100000000001;0.0;2.0;0.0;0.0;0.0;6.0;0.0;6.0;2.0;0.0;6.0;9.0;0.0;0.0;0.0;218.0;9.473725907600098;11.49902366656781;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;156.6619552866205;59.803149699043686;11.126902983393991;24.26486171003772;6.0;9.473725907600098;70.8722953425855;0.0;0.0;0.0;14.219595082555067;155.63807627056133;22.6259266499618;41.30096528503354;0.0;11.49902366656781;39.04505596515205;14.219595082555067;0.0;0.0;0.0;145.59280964307868;10.045266627482652;11.126902983393991;18.46;12.331281599059379;13.926087052989413;0.0;8.14092376558827;1.7917212564037959;1.1970721004451168;50.67468945343786;0.0;0.0;1.3085951424465538;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.14693873959148007
