Ligand#,free_ligand_filename_tud,free_ligand_index_donor_min,free_ligand_index_donor_max,free_ligand_optimization_success_dft,free_ligand_wall_time_dft,free_ligand_cpu_time_dft,free_ligand_sum_electronic_and_free_energy_dft,free_ligand_sum_electronic_and_enthalpy_dft,free_ligand_zero_point_correction_dft,free_ligand_entropy_dft,free_ligand_orbital_occupation_min_donor_other_atom_1_dft,free_ligand_orbital_occupation_min_donor_other_atom_1_element_dft,free_ligand_orbital_occupation_min_donor_other_atom_1_index_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_1_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_1_element_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_1_index_dft,free_ligand_orbital_occupation_max_donor_other_atom_1_dft,free_ligand_orbital_occupation_max_donor_other_atom_1_element_dft,free_ligand_orbital_occupation_max_donor_other_atom_1_index_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_1_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_1_element_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_1_index_dft,free_ligand_dipole_moment_dft,free_ligand_lone_pair_occupancy_min_donor_dft,free_ligand_lone_pair_occupancy_max_donor_dft,free_ligand_dispersion_energy_dft,free_ligand_nbo_charge_min_donor_dft,free_ligand_nbo_charge_max_donor_dft,free_ligand_mulliken_charge_min_donor_dft,free_ligand_mulliken_charge_max_donor_dft,free_ligand_homo_energy_dft,free_ligand_lumo_energy_dft,free_ligand_homo_lumo_gap_dft,free_ligand_hardness_dft,free_ligand_softness_dft,free_ligand_electronegativity_dft,free_ligand_electrophilicity_dft,free_ligand_orbital_occupation_min_donor_other_atom_2_dft,free_ligand_orbital_occupation_min_donor_other_atom_2_element_dft,free_ligand_orbital_occupation_min_donor_other_atom_2_index_dft,free_ligand_orbital_occupation_min_donor_other_atom_3_dft,free_ligand_orbital_occupation_min_donor_other_atom_3_element_dft,free_ligand_orbital_occupation_min_donor_other_atom_3_index_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_2_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_2_element_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_2_index_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_3_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_3_element_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_3_index_dft,free_ligand_orbital_occupation_max_donor_other_atom_2_dft,free_ligand_orbital_occupation_max_donor_other_atom_2_element_dft,free_ligand_orbital_occupation_max_donor_other_atom_2_index_dft,free_ligand_orbital_occupation_max_donor_other_atom_3_dft,free_ligand_orbital_occupation_max_donor_other_atom_3_element_dft,free_ligand_orbital_occupation_max_donor_other_atom_3_index_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_2_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_2_element_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_2_index_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_3_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_3_element_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_3_index_dft
L1,free_ligand_L1_SP,27,22,True,0.1111111111111111,2.6654444444444447,,,,,,,,,,,,,,,,,1.5975123817986512,,,-3.456767126464037,0.8244,0.86102,0.340895,0.367225,-4.7951902735109995,-0.7708985384665,4.0242917350445,2.01214586752225,0.4969818620711613,2.7830444059887496,1.9246457949996574,,,,,,,,,,,,,,,,,,,,,,,,
L2,free_ligand_L2_SP,22,27,True,0.08413888888888889,2.046111111111111,,,,,,,,,,,,,,,,,1.8636895261818691,,,-3.1753102224168726,0.88766,0.76997,0.411896,0.346155,-4.875735973259,-0.693346091074,4.182389882185,2.0911949410925,0.4781954950013275,2.7845410321665,1.8538847353389585,,,,,,,,,,,,,,,,,,,,,,,,
L3,free_ligand_L3_SP,22,27,True,0.1408888888888889,3.312416666666667,,,,,,,,,,,,,,,,,1.2746375994768082,,,-3.890705891997722,0.79591,0.75811,0.297628,0.271552,-4.4841641423895,-0.3159241804305,4.168239961959,2.0841199809795,0.47981882479242743,2.40004416141,1.3819290706121032,,,,,,,,,,,,,,,,,,,,,,,,
L4,free_ligand_L4_SP,27,22,True,0.10600000000000001,2.497333333333333,,,,,,,,,,,,,,,,,2.299184329278538,,,-3.4777356891615585,0.86047,0.81902,0.366241,0.353576,-4.828932390973001,-0.573071769153,4.255860621820001,2.1279303109100005,0.46994020192905384,2.701002080063,1.7142037497893434,,,,,,,,,,,,,,,,,,,,,,,,
L5,free_ligand_L5_SP,27,22,True,0.1461111111111111,3.0264444444444445,,,,,,,,,,,,,,,,,2.217142331921882,,,-3.6330811924554474,0.85606,0.85854,0.32989,0.349179,-4.7851220610425,-0.6030042927079999,4.1821177683345,2.09105888416725,0.4782266092895051,2.6940631768752503,1.7354787222755819,,,,,,,,,,,,,,,,,,,,,,,,
L6,free_ligand_L6_SP,27,22,True,0.17427777777777778,3.9932222222222222,,,,,,,,,,,,,,,,,4.61194656083524,,,-3.959417692366374,0.84607,0.81692,0.349185,0.349958,-5.178326575015,-1.623431232083,3.5548953429320003,1.7774476714660001,0.5626044670981631,3.400878903549,3.253535252338901,,,,,,,,,,,,,,,,,,,,,,,,
L7,free_ligand_L7_SP,27,22,True,0.14002777777777778,4.0400833333333335,,,,,,,,,,,,,,,,,0.5603179543794756,,,-4.159810525222612,0.86375,0.79312,0.361597,0.298156,-4.5886558609815005,-0.347217273238,4.241438587743501,2.1207192938717503,0.471538125243498,2.46793656710975,1.4360011994227162,,,,,,,,,,,,,,,,,,,,,,,,
L8,free_ligand_L8_SP,27,22,True,0.23322222222222222,4.674111111111111,,,,,,,,,,,,,,,,,5.262999012920295,,,-4.037606064385216,0.8575,0.8857,0.363478,0.383245,-5.333975697501,-1.64900993403,3.684965763471,1.8424828817355,0.5427458837815983,3.4914928157654996,3.3081778407242006,,,,,,,,,,,,,,,,,,,,,,,,
L9,free_ligand_L9_SP,27,22,True,0.12494444444444444,2.5435555555555553,,,,,,,,,,,,,,,,,1.7668089681683192,,,-3.453861761439972,0.78639,0.81776,0.344834,0.379286,-4.920362644741,-0.154016439383,4.766346205358,2.383173102679,0.4196086297197079,2.537189542062,1.3505797722188904,,,,,,,,,,,,,,,,,,,,,,,,
L10,free_ligand_L10_SP,27,22,True,0.10719444444444444,2.5651944444444448,,,,,,,,,,,,,,,,,4.609043202227552,,,-3.3933975740539406,0.86658,0.80309,0.385729,0.34249,-5.2243138157495,-1.2773024142470002,3.9470114015025004,1.9735057007512502,0.5067124962544228,3.25080811499825,2.6774063526940086,,,,,,,,,,,,,,,,,,,,,,,,
