Ligand#,free_ligand_filename_tud,free_ligand_index_donor_min,free_ligand_index_donor_max,free_ligand_optimization_success_dft,free_ligand_wall_time_dft,free_ligand_cpu_time_dft,free_ligand_sum_electronic_and_free_energy_dft,free_ligand_sum_electronic_and_enthalpy_dft,free_ligand_zero_point_correction_dft,free_ligand_entropy_dft,free_ligand_orbital_occupation_min_donor_other_atom_1_dft,free_ligand_orbital_occupation_min_donor_other_atom_1_element_dft,free_ligand_orbital_occupation_min_donor_other_atom_1_index_dft,free_ligand_orbital_occupation_min_donor_other_atom_2_dft,free_ligand_orbital_occupation_min_donor_other_atom_2_element_dft,free_ligand_orbital_occupation_min_donor_other_atom_2_index_dft,free_ligand_orbital_occupation_min_donor_other_atom_3_dft,free_ligand_orbital_occupation_min_donor_other_atom_3_element_dft,free_ligand_orbital_occupation_min_donor_other_atom_3_index_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_1_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_1_element_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_1_index_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_2_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_2_element_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_2_index_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_3_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_3_element_dft,free_ligand_anti_orbital_occupation_min_donor_other_atom_3_index_dft,free_ligand_orbital_occupation_max_donor_other_atom_1_dft,free_ligand_orbital_occupation_max_donor_other_atom_1_element_dft,free_ligand_orbital_occupation_max_donor_other_atom_1_index_dft,free_ligand_orbital_occupation_max_donor_other_atom_2_dft,free_ligand_orbital_occupation_max_donor_other_atom_2_element_dft,free_ligand_orbital_occupation_max_donor_other_atom_2_index_dft,free_ligand_orbital_occupation_max_donor_other_atom_3_dft,free_ligand_orbital_occupation_max_donor_other_atom_3_element_dft,free_ligand_orbital_occupation_max_donor_other_atom_3_index_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_1_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_1_element_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_1_index_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_2_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_2_element_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_2_index_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_3_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_3_element_dft,free_ligand_anti_orbital_occupation_max_donor_other_atom_3_index_dft,free_ligand_dipole_moment_dft,free_ligand_lone_pair_occupancy_min_donor_dft,free_ligand_lone_pair_occupancy_max_donor_dft,free_ligand_dispersion_energy_dft,free_ligand_nbo_charge_min_donor_dft,free_ligand_nbo_charge_max_donor_dft,free_ligand_mulliken_charge_min_donor_dft,free_ligand_mulliken_charge_max_donor_dft,free_ligand_homo_energy_dft,free_ligand_lumo_energy_dft,free_ligand_homo_lumo_gap_dft,free_ligand_hardness_dft,free_ligand_softness_dft,free_ligand_electronegativity_dft,free_ligand_electrophilicity_dft
L1,free_ligand_L1_SP,1,14,True,0.03713888888888889,1.0623055555555556,,,,,1.95442,C,2,1.95981,C,8,1.95528,C,17,0.03793,C,2,0.03564,C,8,0.04304,C,17,1.94664,C,15,1.96408,C,50,1.96076,C,67,0.04563,C,15,0.03230,C,50,0.03303,C,67,1.7772464798108338,1.24555,1.29391,-3.4354646637451207,0.89133,0.79783,0.420472,0.332098,-4.6577727790085,-0.66940007223,3.9883727067784998,1.9941863533892499,0.5014576487801327,2.66358642561925,1.778843946726754
L2,free_ligand_L2_SP,22,27,True,0.08413888888888889,2.046111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8636895261818691,1.25116,1.34985,-3.1753102224168726,0.88766,0.76997,0.411896,0.346155,-4.875735973259,-0.693346091074,4.182389882185,2.0911949410925,0.4781954950013275,2.7845410321665,1.8538847353389585
L3,free_ligand_L3_SP,22,27,True,0.1408888888888889,3.312416666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2746375994768082,1.29109,1.3045,-3.890705891997722,0.79591,0.75811,0.297628,0.271552,-4.4841641423895,-0.3159241804305,4.168239961959,2.0841199809795,0.47981882479242743,2.40004416141,1.3819290706121032
L4,free_ligand_L4_SP,27,22,True,0.10600000000000001,2.497333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.299184329278538,1.27885,1.31265,-3.4777356891615585,0.86047,0.81902,0.366241,0.353576,-4.828932390973001,-0.573071769153,4.255860621820001,2.1279303109100005,0.46994020192905384,2.701002080063,1.7142037497893434
L5,free_ligand_L5_SP,14,1,True,0.04019444444444444,1.1364722222222223,,,,,1.93418,C,15,1.95926,C,34,1.95920,C,42,0.05135,C,15,0.02958,C,34,0.03840,C,42,1.95426,C,2,1.95934,C,8,1.95591,C,17,0.04033,C,2,0.03596,C,8,0.04257,C,17,1.9885451616697067,1.28105,1.24587,-3.484120582155383,0.84361,0.88382,0.33578,0.409586,-4.788931654949501,-0.688448041765,4.100483613184501,2.0502418065922505,0.4877473460860311,2.73868984835725,1.8291554833626344
L6,free_ligand_L6_SP,14,1,True,0.05358333333333334,1.4996666666666667,,,,,1.94703,C,15,1.96435,C,46,1.96120,C,79,0.04569,C,15,0.03272,C,46,0.03285,C,79,1.95342,C,2,1.95852,C,8,1.95482,C,17,0.03935,C,2,0.03660,C,8,0.04207,C,17,4.943988824825557,1.28798,1.24365,-3.9178631808142423,0.79065,0.91376,0.318785,0.444797,-5.1154682755495,-1.729011406077,3.3864568694724992,1.6932284347362496,0.5905877668276742,3.42223984081325,3.4584009126547084
L7,free_ligand_L7_SP,1,14,True,0.05438888888888889,1.5690277777777777,,,,,1.95423,C,2,1.95941,C,8,1.95512,C,17,0.03695,C,2,0.03523,C,8,0.04477,C,17,1.94657,C,15,1.96397,C,44,1.96065,C,61,0.04569,C,15,0.03230,C,44,0.03317,C,61,1.8655669325971662,1.24003,1.29469,-4.099551661342477,0.89282,0.79856,0.412003,0.332713,-4.5026678842235,-0.431572566893,4.0710953173305,2.03554765866525,0.4912682814096921,2.4671202255582503,1.4950969537480032
L8,free_ligand_L8_SP,14,1,True,0.06052777777777778,1.7080555555555557,,,,,1.94285,C,15,1.96147,C,34,1.95547,C,42,0.04418,C,15,0.02972,C,34,0.04724,C,42,1.95054,C,2,1.95688,C,8,1.95587,C,17,0.04587,C,2,0.03855,C,8,0.03820,C,17,4.753580273856749,1.26809,1.26374,-4.091473526308223,0.83139,0.89708,0.31351,0.436762,-5.200639910756,-1.6386696077110001,3.5619703030450003,1.7809851515225001,0.5614869945126358,3.4196547592335,3.2830253139256986
L9,free_ligand_L9_SP,27,22,True,0.12494444444444444,2.5435555555555553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7668089681683192,1.35474,1.31313,-3.453861761439972,0.78639,0.81776,0.344834,0.379286,-4.920362644741,-0.154016439383,4.766346205358,2.383173102679,0.4196086297197079,2.537189542062,1.3505797722188904
L10,free_ligand_L10_SP,22,27,True,0.03902777777777778,1.0803333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.388517551520103,1.25359,1.34854,-3.3817836841649993,0.89872,0.76673,0.424819,0.341273,-5.199823569204501,-1.3913181176065001,3.8085054515980006,1.9042527257990003,0.5251403799778797,3.2955708434055007,2.851718954307232
