Ligand#,NE_quad,NW_quad,SW_quad,SE_quad,"+,+,+_octant","-,+,+_octant","-,-,+_octant","+,-,+_octant","+,-,-_octant","-,-,-_octant","-,+,-_octant","+,+,-_octant",bite_angle,cone_angle,distance_Rh_max_donor_gaussian,distance_Rh_min_donor_gaussian,buried_volume_Rh_3.5A,buried_volume_donor_max,buried_volume_donor_min,buried_volume_Rh_4A,buried_volume_Rh_5A,buried_volume_Rh_6A,buried_volume_Rh_7A,dispersion_p_int_Rh_gfn2_xtb,dispersion_p_int_donor_max_gfn2_xtb,dispersion_p_int_donor_min_gfn2_xtb,sasa_gfn2_xtb,ip_gfn2_xtb,dipole_gfn2_xtb,ea_gfn2_xtb,electrofugality_gfn2_xtb,nucleofugality_gfn2_xtb,nucleophilicity_gfn2_xtb,electrophilicity_gfn2_xtb,HOMO_LUMO_gap_gfn2_xtb,sum_electronic_and_free_energy_dft,sum_electronic_and_enthalpy_dft,zero_point_correction_dft,entropy_dft,dipole_moment_dft,lone_pair_occupancy_min_donor_dft,lone_pair_occupancy_max_donor_dft,dispersion_energy_dft,nbo_charge_Rh_dft,nbo_charge_min_donor_dft,nbo_charge_max_donor_dft,mulliken_charge_Rh_dft,mulliken_charge_min_donor_dft,mulliken_charge_max_donor_dft,homo_energy_dft,lumo_energy_dft,homo_lumo_gap_dft,hardness_dft,softness_dft,electronegativity_dft,electrophilicity_dft,free_ligand_dipole_moment_dft,free_ligand_lone_pair_occupancy_min_donor_dft,free_ligand_lone_pair_occupancy_max_donor_dft,free_ligand_dispersion_energy_dft,free_ligand_nbo_charge_min_donor_dft,free_ligand_nbo_charge_max_donor_dft,free_ligand_mulliken_charge_min_donor_dft,free_ligand_mulliken_charge_max_donor_dft,free_ligand_homo_energy_dft,free_ligand_lumo_energy_dft,free_ligand_homo_lumo_gap_dft,free_ligand_hardness_dft,free_ligand_softness_dft,free_ligand_electronegativity_dft,free_ligand_electrophilicity_dft,min_NBO_donor,max_NBO_donor,min_bv_donor,max_bv_donor,Rh_donor_min_d,Rh_donor_max_d,std_quad,min_quad,max_quad,std_oct,min_oct,max_oct,ratio_std_oct_std_quad,ratio_min_oct_min_quad,lone_pair_occ_min,lone_pair_occ_max,bite_angle_sin,bite_angle_cos,cone_angle_sin,cone_angle_cos,nbo_charge_max_donor_dft_abs_diff,nbo_charge_min_donor_dft_abs_diff,mulliken_charge_max_donor_dft_abs_diff,mulliken_charge_min_donor_dft_abs_diff,lone_pair_occupancy_max_donor_dft_abs_diff,lone_pair_occupancy_min_donor_dft_abs_diff
L100,0.407302619,0.444487456,0.401735141,0.30400255,0.1442421,0.105987032,0.104347529,0.188884398,0.670363139,0.78298788,0.503657572,0.614585883,104.9055061,239.9390263,2.342848595,2.326688026,0.605607063,0.954085911,0.915573751,0.609467134,0.581359781,0.501028391,0.389340669,55.5386901,73.12650262,65.31589869,778.9643222,5.880179893,4.589464145,5.759953733,7.042034243,0.247900617,-5.880179893,1.16185435,0.061741864,,,,,10.41701889,1.21522,1.17402,-4.491492544,-0.07726,1.03136,1.03964,-0.152244,0.389674,0.359746,-6.010722844,-1.979628262,4.031094581,2.015547291,0.496143159,3.995175553,3.959576581,0.9117596503465154,1.32862,1.36377,-3.7152030735865296,0.83758,0.75551,0.422715,0.350616,-4.983493058057,-0.7660004891575001,4.2174925688995,2.10874628444975,0.4742154176508422,2.8747467736072503,1.9594981798679785,1.03136,1.03964,0.915573751,0.954085911,2.326688026,2.342848595,0.0600000290032313,0.30400255,0.444487456,0.2827168955091245,0.104347529,0.78298788,4.711945980791089,0.3432455714598447,1.17402,1.21522,-0.943470214063324,-0.3314573202922296,0.9238364296403412,0.3827874753298324,0.2841299999999999,0.19378,0.00913,0.0330409999999999,0.1897499999999998,0.1133999999999999
L180,0.337771756,0.385408424,0.401407809,0.369078861,0.011186192,0.135042667,0.117497709,0.06885343,0.664357321,0.635774181,0.620660014,0.733962189,95.28496666,224.8188747,2.267885482,2.298442664,0.495754519,0.8726414,0.895051016,0.496652132,0.482324745,0.443200372,0.37339323,49.89046719,53.27521315,64.28368392,845.6748115,5.963602499,4.96294823,5.77613479,7.143793189,0.2500559,-5.963602499,1.180190689,0.065752571,,,,,10.53622509,1.13534,1.1623,-3.749881567,-0.06547,1.09259,1.09272,-0.113384,0.483679,0.364759,-6.029498699,-1.826700278,4.202798421,2.10139921,0.475873406,3.928099489,3.671355142,1.4609236564584749,1.30786,1.27729,-3.112346067942389,0.82049,0.86551,0.337792,0.43139,-5.0784607918815,-0.4644983428034999,4.613962449078,2.306981224539,0.4334669001044117,2.7714795673425,1.664751084771371,1.09259,1.09272,0.8726414,0.895051016,2.267885482,2.298442664,0.0271826078433403,0.337771756,0.401407809,0.3141625226950116,0.011186192,0.733962189,11.557482803180708,0.0331176061979557,1.13534,1.1623,0.8609768460562848,0.508644149238908,-0.9810476756862032,0.1937665038924386,0.2272099999999999,0.2720999999999999,0.066631,0.145887,0.1149899999999999,0.17252
L22,0.442833721,0.57656137,0.459627241,0.45225517,0.154073425,0.255642907,0.113825905,0.180476253,0.731594018,0.897479834,0.790684436,0.738778229,101.6368974,237.9081067,2.313634534,2.327183688,0.550503168,0.900519474,0.925468226,0.549511979,0.540001892,0.518755953,0.482786643,53.34066883,59.5437721,67.04464348,1194.173694,5.815803435,3.931081359,5.8876668,7.047044328,0.189574093,-5.815803435,1.231240893,0.063148023,,,,,8.681799649,1.13691,1.15271,-7.34104391,-0.091,1.12254,1.08963,-0.171426,0.488544,0.383448,-5.859155429,-1.820985888,4.038169541,2.019084771,0.495273906,3.840070658,3.651689834,2.4689852065170417,1.30284,1.27643,-6.586064668222527,0.85918,0.87028,0.408793,0.419279,-5.000364116788,-0.6228686037945,4.3774955129935,2.18874775649675,0.4568822501504572,2.81161636029125,1.8058697111151447,1.08963,1.12254,0.900519474,0.925468226,2.313634534,2.327183688,0.0628714557891568,0.442833721,0.57656137,0.3341040346019486,0.113825905,0.897479834,5.314081412754085,0.2570398314359624,1.13691,1.15271,0.8938826138217599,0.448301096036111,-0.7532141991700263,0.657775318911143,0.21935,0.26336,0.035831,0.0797509999999999,0.12372,0.1659299999999999
L17,0.362438305,0.349327975,0.497389889,0.339718666,0.08841361,0.095341648,0.093741995,0.096821755,0.636463,0.603314301,0.585695337,0.897958022,95.3718145,218.2296484,2.274287934,2.29959014,0.558953364,0.881295425,0.905411387,0.56232155,0.537841758,0.468707198,0.387296983,53.22035054,53.39622005,71.76915139,878.9655352,6.229821842,4.559707674,6.175343392,7.687357561,0.128192327,-6.229821842,1.457535719,0.063025535,,,,,10.36494725,1.15472,1.16965,-4.618963904,-0.1061,1.28662,1.26777,-0.132611,0.543283,0.579766,-5.986504711,-1.988335906,3.998168805,1.999084403,0.500229004,3.987420308,3.976700707,3.0306253117137394,1.35856,1.32976,-3.897443346580808,1.03282,1.01609,0.583554,0.495282,-5.092338598257,-1.15920500313,3.933133595127,1.9665667975635,0.5085003983790234,3.1257718006935,2.484138693411252,1.26777,1.28662,0.881295425,0.905411387,2.274287934,2.29959014,0.0740353949879295,0.339718666,0.497389889,0.3281992682291396,0.08841361,0.897958022,4.433004892898162,0.2602553784901534,1.15472,1.16965,0.9018510421891373,0.4320471012544434,-0.9938412774866664,-0.1108129738057384,0.2516800000000001,0.2538,0.084484,0.040271,0.1601099999999999,0.20384
L5,0.470301088,0.452542653,0.393500623,0.332278283,0.151961426,0.190444203,0.05492904,0.1207881,0.78864075,0.714641103,0.609627525,0.666213147,95.47894574,235.342235,2.27071587,2.292897847,0.582725727,0.91967364,0.910151882,0.582385482,0.561920548,0.505398204,0.412095177,50.97371328,59.95700299,60.86091258,861.3146388,5.896001388,4.777677402,5.590051138,6.965749139,0.325696613,-5.896001388,1.069747751,0.069333809,,,,,10.73044516,1.12662,1.16414,-4.269139702,-0.11809,1.12373,1.07628,-0.177298,0.401408,0.355373,-6.093989682,-1.694180833,4.399808849,2.199904424,0.454565202,3.894085258,3.446490635,1.5964035141529849,1.32368,1.28286,-3.522993852535276,0.7977,0.85159,0.335256,0.401356,-5.0107044431070005,-0.6255897422995,4.385114700807501,2.1925573504037503,0.4560884119249397,2.81814709270325,1.8111163739113376,1.07628,1.12373,0.910151882,0.91967364,2.27071587,2.292897847,0.0625577220460078,0.332278283,0.470301088,0.3084851774664234,0.05492904,0.78864075,4.931208608260213,0.1653103522266605,1.12662,1.16414,0.942877926426426,0.3331384334744389,0.2736770975694533,-0.9618216291319092,0.2246899999999999,0.3260299999999999,0.0459829999999999,0.0661519999999999,0.1187199999999999,0.19706
L101,0.354605125,0.304144868,0.438521487,0.418642514,0.146758281,0.09961688,0.119826031,0.172956172,0.562451968,0.508672857,0.717458998,0.704086803,108.3919189,268.7825786,2.379747152,2.362361505,0.63513907,0.954359625,0.955250652,0.643954441,0.615082306,0.513462062,0.378940073,61.34945051,71.88252393,77.55377936,718.0934051,5.814566537,4.506135269,5.816110551,7.002311955,0.217634867,-5.814566537,1.187745417,0.053847277,,,,,10.3898597,1.24658,1.22638,-4.498747102,-0.05028,0.96431,1.01012,-0.177032,0.391074,0.367655,-5.901333076,-2.207115441,3.694217634,1.847108817,0.54138662,4.054224259,4.449314027,0.661126599071615,1.37732,1.39924,-3.68764338280789,0.75928,0.76948,0.357289,0.405005,-4.997642978282999,-0.54966997801,4.447973000273,2.2239865001365,0.4496430171399978,2.7736564781465,1.729590143261181,0.96431,1.01012,0.954359625,0.955250652,2.362361505,2.379747152,0.0614077497679144,0.304144868,0.438521487,0.2705343766295108,0.09961688,0.717458998,4.405541281873594,0.3275310238014603,1.22638,1.24658,0.999975693258176,-0.0069722946603217,-0.9844806436062344,0.1754931974882635,0.2406399999999998,0.20503,0.0373499999999999,0.0337849999999999,0.17286,0.13074
L23,0.43522825,0.573347831,0.453621423,0.451321565,0.136579701,0.250855331,0.114127619,0.17611563,0.733876798,0.895840331,0.78851551,0.731127215,101.7101569,238.897582,2.314331555,2.326835114,0.550607995,0.900362234,0.925328457,0.5499775,0.540853332,0.519712912,0.478356996,52.57473364,60.0095778,67.6463859,1101.525349,5.759339671,4.170090972,5.759246864,6.907775454,0.235188918,-5.759339671,1.148435782,0.063039756,,,,,9.487178322,1.14006,1.15628,-6.719148502,-0.0911,1.1171,1.08538,-0.172811,0.486413,0.383607,-5.877114943,-1.837584832,4.039530111,2.019765055,0.49510709,3.857349888,3.683385876,2.1261490516894623,1.30704,1.27842,-5.968761701531012,0.85666,0.86741,0.409953,0.417024,-5.0607733915990005,-0.6870874725125,4.3736859190865,2.18684295954325,0.4572802064437506,2.8739304320557504,1.888447474532248,1.08538,1.1171,0.900362234,0.925328457,2.314331555,2.326835114,0.0638386207359477,0.43522825,0.573347831,0.3364213762605672,0.114127619,0.895840331,5.269872255731981,0.2622247498869846,1.14006,1.15628,0.9242979176856986,0.3816717953450079,0.1361164629877171,0.9906928426630088,0.21797,0.26044,0.033417,0.0764599999999999,0.1221399999999999,0.1669799999999999
L15,0.448774073,0.371674741,0.389751968,0.323329329,0.100220308,0.168253986,0.037600405,0.096736365,0.797327838,0.575095495,0.609058254,0.682767572,90.28978631,225.4695544,2.267533865,2.300281458,0.561341083,0.90373416,0.93012719,0.566778909,0.547337675,0.480736088,0.38341028,50.30191015,61.78223825,54.5976037,735.9141387,6.052918903,4.952323215,5.783128286,7.24679008,0.25674289,-6.052918903,1.193871177,0.067449191,,,,,11.35412543,1.12931,1.15422,-3.853633468,-0.09963,1.08366,1.07264,-0.158006,0.386777,0.312947,-6.040927481,-1.862347193,4.178580288,2.089290144,0.478631464,3.951637337,3.737019888,1.807661052299352,1.29504,1.27746,-3.135372649460351,0.8054,0.83843,0.294419,0.36027,-5.016690947818,-0.6190590098875,4.3976319379305,2.19881596896525,0.4547902207889613,2.8178749788527497,1.8056125452329463,1.07264,1.08366,0.90373416,0.93012719,2.267533865,2.300281458,0.0518333319720415,0.323329329,0.448774073,0.3109565773615419,0.037600405,0.797327838,5.999162421764999,0.1162913525855862,1.12931,1.15422,0.7286855419795228,-0.6848484364514598,-0.6632227569444912,0.7484220565101943,0.23421,0.27826,0.047323,0.092358,0.12324,0.1657299999999999
L41,0.494463831,0.606493684,0.498548357,0.57459169,0.134057827,0.47997017,0.497543592,0.142016247,0.854869836,0.733017198,0.651639788,0.855080467,92.76930826,274.7429853,2.274367309,2.289254328,0.574240589,0.899057725,0.906972139,0.594256253,0.613503595,0.590048302,0.543455366,61.86553035,63.63779604,67.53473808,1266.984406,5.932166329,5.822838789,6.000915122,7.246382427,0.159300975,-5.932166329,1.314216097,0.052602815,,,,,13.51940828,1.13216,1.13491,-8.724006665,-0.12778,1.11391,1.10473,-0.192848,0.372517,0.378448,-5.852080469,-2.023166478,3.82891399,1.914456995,0.522341323,3.937623474,4.049419407,3.653427589264634,1.27556,1.27519,-7.862787896302152,0.83415,0.8408,0.368045,0.348561,-4.80008832282,-0.6054533173625,4.1946350054575,2.09731750272875,0.4767995302089136,2.7027708200912497,1.7415031573503943,1.10473,1.11391,0.899057725,0.906972139,2.274367309,2.289254328,0.0558572320293979,0.494463831,0.606493684,0.2870103699480109,0.134057827,0.855080467,5.138284865189092,0.271117559253793,1.13216,1.13491,-0.9957410756278424,0.0921938734814145,-0.9893067471798684,-0.1458497856850947,0.26393,0.27976,0.0298869999999999,0.0044719999999999,0.1402799999999999,0.1433999999999999
L167,0.337885611,0.320685062,0.335585752,0.3295287,0.113194014,0.021438778,0.048706899,0.127704753,0.562577207,0.619931346,0.610350501,0.543466752,89.01027815,232.5546362,2.259147575,2.263696344,0.573023435,0.902295704,0.906471301,0.579487617,0.55110017,0.461044719,0.330888548,52.49221811,65.80931278,69.81967705,657.4513107,6.335211018,5.086659604,5.513578204,7.416770518,0.413981296,-6.335211018,1.0815595,0.056288795,,,,,11.90836967,1.18451,1.18396,-3.400587157,-0.11582,1.03866,1.03518,-0.173218,0.308254,0.302123,-6.265693522,-1.703704818,4.561988704,2.280994352,0.438405294,3.98469917,3.480461813,1.7852642269423311,1.35443,1.35535,-2.669948142676428,0.73829,0.7424,0.29267,0.277893,-4.7611760421985,-0.769537969214,3.9916380729845,1.99581903649225,0.5010474305113098,2.76535700570625,1.915804797224744,1.03518,1.03866,0.902295704,0.906471301,2.259147575,2.263696344,0.007680682333323,0.320685062,0.337885611,0.2737501595754506,0.021438778,0.619931346,35.64138545188508,0.0668530609635942,1.18396,1.18451,0.865267561059338,0.501310330811589,0.0767044185713706,0.997053876263278,0.29278,0.3003699999999999,0.0242299999999999,0.0155839999999999,0.1713900000000001,0.16992
