Ligand#,NE_quad,NW_quad,SW_quad,SE_quad,"+,+,+_octant","-,+,+_octant","-,-,+_octant","+,-,+_octant","+,-,-_octant","-,-,-_octant","-,+,-_octant","+,+,-_octant",bite_angle,cone_angle,distance_Rh_max_donor_gaussian,distance_Rh_min_donor_gaussian,buried_volume_Rh_3.5A,buried_volume_donor_max,buried_volume_donor_min,buried_volume_Rh_4A,buried_volume_Rh_5A,buried_volume_Rh_6A,buried_volume_Rh_7A,dispersion_p_int_Rh_gfn2_xtb,dispersion_p_int_donor_max_gfn2_xtb,dispersion_p_int_donor_min_gfn2_xtb,sasa_gfn2_xtb,ip_gfn2_xtb,dipole_gfn2_xtb,ea_gfn2_xtb,electrofugality_gfn2_xtb,nucleofugality_gfn2_xtb,nucleophilicity_gfn2_xtb,electrophilicity_gfn2_xtb,HOMO_LUMO_gap_gfn2_xtb,sum_electronic_and_free_energy_dft,sum_electronic_and_enthalpy_dft,zero_point_correction_dft,entropy_dft,dipole_moment_dft,lone_pair_occupancy_min_donor_dft,lone_pair_occupancy_max_donor_dft,dispersion_energy_dft,nbo_charge_Rh_dft,nbo_charge_min_donor_dft,nbo_charge_max_donor_dft,mulliken_charge_Rh_dft,mulliken_charge_min_donor_dft,mulliken_charge_max_donor_dft,homo_energy_dft,lumo_energy_dft,homo_lumo_gap_dft,hardness_dft,softness_dft,electronegativity_dft,electrophilicity_dft,free_ligand_dipole_moment_dft,free_ligand_lone_pair_occupancy_min_donor_dft,free_ligand_lone_pair_occupancy_max_donor_dft,free_ligand_dispersion_energy_dft,free_ligand_nbo_charge_min_donor_dft,free_ligand_nbo_charge_max_donor_dft,free_ligand_mulliken_charge_min_donor_dft,free_ligand_mulliken_charge_max_donor_dft,free_ligand_homo_energy_dft,free_ligand_lumo_energy_dft,free_ligand_homo_lumo_gap_dft,free_ligand_hardness_dft,free_ligand_softness_dft,free_ligand_electronegativity_dft,free_ligand_electrophilicity_dft,min_NBO_donor,max_NBO_donor,min_bv_donor,max_bv_donor,Rh_donor_min_d,Rh_donor_max_d,std_quad,min_quad,max_quad,std_oct,min_oct,max_oct,ratio_std_oct_std_quad,ratio_min_oct_min_quad,lone_pair_occ_min,lone_pair_occ_max,bite_angle_sin,bite_angle_cos,cone_angle_sin,cone_angle_cos,nbo_charge_max_donor_dft_abs_diff,nbo_charge_min_donor_dft_abs_diff,mulliken_charge_max_donor_dft_abs_diff,mulliken_charge_min_donor_dft_abs_diff,lone_pair_occupancy_max_donor_dft_abs_diff,lone_pair_occupancy_min_donor_dft_abs_diff
L100,0.407302619,0.444487456,0.401735141,0.30400255,0.1442421,0.105987032,0.104347529,0.188884398,0.670363139,0.78298788,0.503657572,0.614585883,104.9055061,239.9390263,2.342848595,2.326688026,0.605607063,0.954085911,0.915573751,0.609467134,0.581359781,0.501028391,0.389340669,55.5386901,73.12650262,65.31589869,778.9643222,5.880179893,4.589464145,5.759953733,7.042034243,0.247900617,-5.880179893,1.16185435,0.061741864,,,,,10.41701889,1.17402,1.21522,-4.491492544,-0.07726,1.03964,1.03136,-0.152244,0.359746,0.389674,-6.010722844,-1.979628262,4.031094581,2.015547291,0.496143159,3.995175553,3.959576581,0.9117596503465154,1.32862,1.36377,-3.7152030735865296,0.83758,0.75551,0.422715,0.350616,-4.983493058057,-0.7660004891575001,4.2174925688995,2.10874628444975,0.4742154176508422,2.8747467736072503,1.9594981798679785,1.03136,1.03964,0.915573751,0.954085911,2.326688026,2.342848595,0.0600000290032313,0.30400255,0.444487456,0.2827168955091245,0.104347529,0.78298788,4.711945980791089,0.3432455714598447,1.17402,1.21522,-0.943470214063324,-0.3314573202922296,0.9238364296403411,0.3827874753298324,0.27585000000000004,0.2020599999999999,0.03905800000000004,0.062969,0.14854999999999996,0.15459999999999985
L180,0.337771756,0.385408424,0.401407809,0.369078861,0.011186192,0.135042667,0.117497709,0.06885343,0.664357321,0.635774181,0.620660014,0.733962189,95.28496666,224.8188747,2.267885482,2.298442664,0.495754519,0.8726414,0.895051016,0.496652132,0.482324745,0.443200372,0.37339323,49.89046719,53.27521315,64.28368392,845.6748115,5.963602499,4.96294823,5.77613479,7.143793189,0.2500559,-5.963602499,1.180190689,0.065752571,,,,,10.53622509,1.1623,1.13534,-3.749881567,-0.06547,1.09272,1.09259,-0.113384,0.364759,0.483679,-6.029498699,-1.826700278,4.202798421,2.10139921,0.475873406,3.928099489,3.671355142,1.4609236564584749,1.30786,1.27729,-3.112346067942389,0.82049,0.86551,0.337792,0.43139,-5.0784607918815,-0.4644983428034999,4.613962449078,2.306981224539,0.4334669001044117,2.7714795673425,1.664751084771371,1.09259,1.09272,0.8726414,0.895051016,2.267885482,2.298442664,0.02718260784334039,0.337771756,0.401407809,0.3141625226950116,0.011186192,0.733962189,11.557482803180708,0.03311760619795576,1.13534,1.1623,0.8609768460562848,0.508644149238908,-0.9810476756862031,0.19376650389243869,0.22707999999999995,0.27222999999999986,0.05228900000000003,0.02696700000000002,0.14195000000000002,0.1455599999999999
L22,0.442833721,0.57656137,0.459627241,0.45225517,0.154073425,0.255642907,0.113825905,0.180476253,0.731594018,0.897479834,0.790684436,0.738778229,101.6368974,237.9081067,2.313634534,2.327183688,0.550503168,0.900519474,0.925468226,0.549511979,0.540001892,0.518755953,0.482786643,53.34066883,59.5437721,67.04464348,1194.173694,5.815803435,3.931081359,5.8876668,7.047044328,0.189574093,-5.815803435,1.231240893,0.063148023,,,,,8.681799649,1.15271,1.13691,-7.34104391,-0.091,1.08963,1.12254,-0.171426,0.383448,0.488544,-5.859155429,-1.820985888,4.038169541,2.019084771,0.495273906,3.840070658,3.651689834,2.4689852065170417,1.30284,1.27643,-6.586064668222527,0.85918,0.87028,0.408793,0.419279,-5.000364116788,-0.6228686037945,4.3774955129935,2.18874775649675,0.4568822501504572,2.81161636029125,1.8058697111151452,1.08963,1.12254,0.900519474,0.925468226,2.313634534,2.327183688,0.06287145578915684,0.442833721,0.57656137,0.3341040346019486,0.113825905,0.897479834,5.314081412754085,0.2570398314359624,1.13691,1.15271,0.8938826138217599,0.448301096036111,-0.7532141991700263,0.657775318911143,0.25226000000000004,0.23045000000000004,0.06926499999999997,0.025345000000000006,0.13951999999999987,0.1501300000000001
L4,0.367470668,0.352917234,0.378150208,0.432774688,0.197987055,0.054473623,0.097647199,0.182929814,0.536954282,0.651360844,0.767902176,0.573370602,96.50325399,249.8184406,2.288118924,2.274731219,0.584548546,0.913739284,0.897549385,0.586928186,0.561776671,0.48702889,0.382844566,54.21939835,66.27756799,68.41742108,774.8532848,6.011646785,5.016443821,5.764047466,7.19010281,0.260408558,-6.011646785,1.178456024,0.065496575,,,,,11.67222764,1.15529,1.15875,-4.196898644,-0.10862,1.09685,1.0889,-0.239915,0.369354,0.325497,-6.150045135,-1.820713774,4.329331361,2.164665681,0.461965101,3.985379454,3.668753456,1.6666084393162062,1.30807,1.32197,-3.4284592695380005,0.84379,0.80125,0.36015,0.301527,-4.824034341664,-0.550214205711,4.273820135953,2.1369100679765,0.4679654118279896,2.6871242736875,1.689504151449386,1.0889,1.09685,0.897549385,0.913739284,2.274731219,2.288118924,0.034866674389118266,0.352917234,0.432774688,0.27870197835609445,0.054473623,0.767902176,7.993362809590929,0.154352402637271,1.15529,1.15875,0.7746226925440296,-0.6324236587888199,-0.9980894656355177,0.06178526189478124,0.28764999999999996,0.25306000000000006,0.02396999999999999,0.00920399999999999,0.16322000000000014,0.15278000000000014
L17,0.362438305,0.349327975,0.497389889,0.339718666,0.08841361,0.095341648,0.093741995,0.096821755,0.636463,0.603314301,0.585695337,0.897958022,95.3718145,218.2296484,2.274287934,2.29959014,0.558953364,0.881295425,0.905411387,0.56232155,0.537841758,0.468707198,0.387296983,53.22035054,53.39622005,71.76915139,878.9655352,6.229821842,4.559707674,6.175343392,7.687357561,0.128192327,-6.229821842,1.457535719,0.063025535,,,,,10.36494725,1.16965,1.15472,-4.618963904,-0.1061,1.26777,1.28662,-0.132611,0.579766,0.543283,-5.986504711,-1.988335906,3.998168805,1.999084403,0.500229004,3.987420308,3.976700707,3.0306253117137394,1.35856,1.32976,-3.897443346580808,1.03282,1.01609,0.583554,0.495282,-5.092338598257,-1.15920500313,3.933133595127,1.9665667975635,0.5085003983790234,3.1257718006935,2.484138693411252,1.26777,1.28662,0.881295425,0.905411387,2.274287934,2.29959014,0.0740353949879295,0.339718666,0.497389889,0.3281992682291396,0.08841361,0.897958022,4.433004892898162,0.2602553784901534,1.15472,1.16965,0.9018510421891371,0.4320471012544434,-0.9938412774866663,-0.11081297380573844,0.27053000000000016,0.23495,0.04800099999999996,0.0037880000000000136,0.17504000000000008,0.1889099999999999
L5,0.470301088,0.452542653,0.393500623,0.332278283,0.151961426,0.190444203,0.05492904,0.1207881,0.78864075,0.714641103,0.609627525,0.666213147,95.47894574,235.342235,2.27071587,2.292897847,0.582725727,0.91967364,0.910151882,0.582385482,0.561920548,0.505398204,0.412095177,50.97371328,59.95700299,60.86091258,861.3146388,5.896001388,4.777677402,5.590051138,6.965749139,0.325696613,-5.896001388,1.069747751,0.069333809,,,,,10.73044516,1.16414,1.12662,-4.269139702,-0.11809,1.07628,1.12373,-0.177298,0.355373,0.401408,-6.093989682,-1.694180833,4.399808849,2.199904424,0.454565202,3.894085258,3.446490635,1.5964035141529849,1.32368,1.28286,-3.5229938525352757,0.7977,0.85159,0.335256,0.401356,-5.0107044431070005,-0.6255897422995,4.385114700807501,2.1925573504037503,0.4560884119249397,2.81814709270325,1.8111163739113376,1.07628,1.12373,0.910151882,0.91967364,2.27071587,2.292897847,0.06255772204600782,0.332278283,0.470301088,0.30848517746642345,0.05492904,0.78864075,4.931208608260213,0.16531035222666055,1.12662,1.16414,0.942877926426426,0.3331384334744389,0.27367709756945335,-0.9618216291319092,0.27213999999999994,0.27857999999999994,5.1999999999996493e-05,0.020116999999999996,0.15623999999999993,0.15954000000000002
L111,0.286511673,0.166913351,0.286534444,0.166901966,0.06594445,0.007884415,0.007884415,0.066024149,0.507078895,0.325942287,0.325919516,0.507044739,87.32661613,233.5570788,2.262161468,2.262142981,0.512707324,0.85508293,0.855024693,0.503964683,0.444888998,0.329334664,0.226728879,46.81913425,53.2062068,51.99294828,530.9919405,6.470283276,5.435450552,5.463427496,7.543170724,0.455459951,-6.470283276,1.072887448,0.05593061,,,,,12.85424129,1.17341,1.17342,-2.193189147,-0.1021,1.06508,1.06509,-0.182974,0.306658,0.306679,-6.200114084,-1.73989596,4.460218124,2.230109062,0.448408563,3.970005022,3.533670201,1.5914914671464626,1.33188,1.3319,-1.6026089305801223,0.76537,0.76538,0.256499,0.256477,-4.610697082872,-0.6868153586619999,3.92388172421,1.961940862105,0.509699359096422,2.648756220767,1.788002292159915,1.06508,1.06509,0.855024693,0.85508293,2.262142981,2.262161468,0.06905998417131863,0.166901966,0.286534444,0.2152469133250789,0.007884415,0.507078895,3.116810927600434,0.04723979704349318,1.17341,1.17342,-0.5955725210078386,0.803301545013059,0.8815910515590177,0.47201400171082347,0.29971000000000014,0.29971000000000003,0.05020199999999997,0.05015900000000001,0.15848000000000018,0.1584699999999999
L51,0.291080079,0.335059176,0.291082926,0.335050637,0.034890671,0.103789643,0.10378395,0.034884979,0.547269488,0.566328709,0.566317324,0.547280873,94.28586695,247.3198628,2.301459751,2.301433515,0.536922288,0.908247531,0.90823006,0.539189063,0.506074391,0.417492857,0.313008431,52.83143432,60.17070523,56.83093482,682.1525933,6.254380354,5.905998613,5.891914811,7.533411315,0.23311615,-6.254380354,1.279030961,0.054632352,,,,,14.77545438,1.17778,1.17779,-3.398900154,-0.0685,1.05198,1.05193,-0.177327,0.342395,0.342251,-5.902693645,-2.052554774,3.850138871,1.925069435,0.519461782,3.97762421,4.109330828,2.571716152688706,1.31362,1.31363,-2.723000966480639,0.79609,0.79607,0.320854,0.320757,-4.614506676779,-0.4900770447505,4.1244296320285,2.06221481601425,0.4849155346157158,2.5522918607647505,1.579416870623671,1.05193,1.05198,0.90823006,0.908247531,2.301433515,2.301459751,0.02538805690252263,0.291080079,0.335059176,0.2619563424708442,0.034884979,0.566328709,10.318093404179171,0.1198466728463407,1.17778,1.17779,0.03807813443456088,0.9992747648559847,0.7617155557865986,-0.6479115773565968,0.25586,0.25588999999999995,0.021494000000000013,0.021541000000000032,0.13584000000000018,0.13583999999999996
L45,0.366798927,0.396531996,0.366551294,0.39640391,0.019952978,0.200138902,0.200810643,0.019930207,0.713644877,0.59292509,0.591997176,0.713172381,94.86384097,240.9925562,2.28834782,2.288171225,0.544493105,0.897095136,0.897264023,0.542571845,0.512814954,0.458316704,0.381493257,54.93416516,58.70822154,59.5075547,914.4142763,6.006002785,5.772955682,5.890048312,7.258110718,0.208059621,-6.006002785,1.252107933,0.054066982,,,,,13.75067749,1.14331,1.14305,-4.406877243,-0.1016,1.09845,1.09872,-0.168027,0.398449,0.398707,-5.770446314,-1.936634274,3.83381204,1.91690602,0.521673984,3.853540294,3.873370067,3.1437404123114234,1.28774,1.28723,-3.706492428954759,0.83704,0.8373,0.372301,0.372569,-4.898593536701,-0.4966077771625,4.4019857595385,2.20099287976925,0.4543404066372259,2.69760065693175,1.6531287700125423,1.09845,1.09872,0.897095136,0.897264023,2.288171225,2.28834782,0.017201282203107696,0.366551294,0.396531996,0.30150238862230255,0.019930207,0.713644877,17.527901993714817,0.054372218366796975,1.14305,1.14331,0.5778250897029291,0.8161606249445031,0.7895516870350069,-0.6136840665197155,0.2614199999999999,0.2614099999999999,0.026137999999999995,0.026148000000000005,0.1441800000000002,0.14443000000000006
L101,0.354605125,0.304144868,0.438521487,0.418642514,0.146758281,0.09961688,0.119826031,0.172956172,0.562451968,0.508672857,0.717458998,0.704086803,108.3919189,268.7825786,2.379747152,2.362361505,0.63513907,0.954359625,0.955250652,0.643954441,0.615082306,0.513462062,0.378940073,61.34945051,71.88252393,77.55377936,718.0934051,5.814566537,4.506135269,5.816110551,7.002311955,0.217634867,-5.814566537,1.187745417,0.053847277,,,,,10.3898597,1.22638,1.24658,-4.498747102,-0.05028,1.01012,0.96431,-0.177032,0.367655,0.391074,-5.901333076,-2.207115441,3.694217634,1.847108817,0.54138662,4.054224259,4.449314027,0.661126599071615,1.37732,1.39924,-3.68764338280789,0.75928,0.76948,0.357289,0.405005,-4.997642978282999,-0.54966997801,4.447973000273,2.2239865001365,0.4496430171399978,2.7736564781465,1.729590143261181,0.96431,1.01012,0.954359625,0.955250652,2.362361505,2.379747152,0.06140774976791448,0.304144868,0.438521487,0.27053437662951085,0.09961688,0.717458998,4.405541281873594,0.3275310238014603,1.22638,1.24658,0.9999756932581759,-0.006972294660321797,-0.9844806436062343,0.17549319748826353,0.19482999999999995,0.25083999999999995,0.013931000000000027,0.010365999999999986,0.15266000000000002,0.15094000000000007
