ID,SMILES
L1,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10CCCCC%10)C%11CCCCC%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC=CC=C%13)C%14=CC=CC=C%14
L2,P([C-]12[Fe+2]3456789(C1([C@H](P(C(C)(C)C)C(C)(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11=CC=CC=C%11)C%12=CC=CC=C%12
L3,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10CCCCC%10)C%11CCCCC%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13CCCCC%13)C%14CCCCC%14
L4,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10=CC=CC=C%10)C%11=CC=CC=C%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13CCCCC%13)C%14CCCCC%14
L5,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10=CC(C)=CC(C)=C%10)C%11=CC(C)=CC(C)=C%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC=CC=C%13)C%14=CC=CC=C%14
L6,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10CCCCC%10)C%11CCCCC%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC(C(F)(F)F)=CC(C(F)(F)F)=C%13)C%14=CC(C(F)(F)F)=CC(C(F)(F)F)=C%14
L7,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10CCCCC%10)C%11CCCCC%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC(C)=C(OC)C(C)=C%13)C%14=CC(C)=C(OC)C(C)=C%14
L8,P([C-]12[Fe+2]3456789(C1([C@H](P(C%10=CC(C)=CC(C)=C%10)C%11=CC(C)=CC(C)=C%11)C)=[CH]3C4(=C52[H])[H])[CH-]%12[CH]6=[CH]7[CH]8=[CH]9%12)(C%13=CC(C(F)(F)F)=CC(C(F)(F)F)=C%13)C%14=CC(C(F)(F)F)=CC(C(F)(F)F)=C%14
L9,P([C-]12[Fe+2]3456789(C1([C@H](P(C(C)(C)C)C(C)(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11CCCCC%11)C%12CCCCC%12
L10,P([C-]12[Fe+2]3456789(C1([C@H](P(C(C)(C)C)C(C)(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11=CC=C(C(F)(F)F)C=C%11)C%12=CC=C(C(F)(F)F)C=C%12
L11,P([C-]12[Fe+2]3456789(C1([C@H](P(C(C)(C)C)C(C)(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11=CC(C)=C(OC)C(C)=C%11)C%12=CC(C)=C(OC)C(C)=C%12
L12,P([C-]12[Fe+2]3456789(C1([C@H](P(C(C)(C)C)C(C)(C)C)C)=[CH]3C4(=C52[H])[H])[CH-]%10[CH]6=[CH]7[CH]8=[CH]9%10)(C%11=CC=CO%11)C%12=CC=CO%12
